FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,TailStrike,AccidentRisk
1388,Type A,64,Poor,77,3,Cloudy,3,604,9.452270468976018,No,Highly Likely to Crash
1389,Type B,80,Average,77,1,Cloudy,3,18623,12.389182640147702,No,Inconclusive
1390,Type A,63,Good,95,0,Stormy,3,18560,7.945967801289303,Yes,Highly Likely to Crash
1391,Type A,60,Poor,74,2,Cloudy,1,11046,11.119366843220783,Yes,Highly Likely to Crash
1392,Type C,75,Poor,53,2,Cloudy,0,5416,14.576908916364612,No,Highly Likely to Crash
1393,Type A,91,Good,75,1,Stormy,2,12823,5.877675793243421,No,Inconclusive
1394,Type B,76,Poor,85,1,Clear,1,19818,8.059693937939237,No,Highly Likely to Crash
1395,Type B,60,Average,99,0,Stormy,2,13836,8.203516581688092,Yes,Highly Likely to Crash
1396,Type C,87,Average,52,3,Clear,1,5656,14.88792742853794,Yes,Inconclusive
1397,Type B,83,Poor,50,4,Cloudy,2,17926,4.263388049490983,No,Highly Likely to Crash
1398,Type B,92,Good,66,2,Stormy,3,12126,10.454305120219104,Yes,Inconclusive
1399,Type B,68,Good,56,1,Cloudy,2,18729,2.9352154983796925,Yes,Highly Likely to Crash
1400,Type A,55,Average,97,4,Stormy,0,4001,13.979029448759473,Yes,Highly Likely to Crash
1401,Type A,95,Good,54,4,Clear,2,18425,9.265346866023778,Yes,Highly Likely to Crash
1402,Type B,87,Poor,68,4,Stormy,0,17350,13.03176137855258,Yes,Highly Likely to Crash
1403,Type C,98,Poor,88,3,Cloudy,2,3444,13.533381620753106,No,Highly Likely to Crash
1404,Type A,91,Average,95,1,Stormy,3,16405,8.799538769458067,No,Inconclusive
1405,Type C,77,Average,83,2,Cloudy,2,2091,10.548101797334777,Yes,Inconclusive
1406,Type B,50,Average,84,1,Stormy,1,14022,10.782088960404746,No,Highly Likely to Crash
1407,Type B,84,Good,98,0,Clear,3,16653,7.446731529122623,Yes,Inconclusive
1408,Type A,89,Poor,65,2,Stormy,3,4572,7.087735462237308,No,Highly Likely to Crash
1409,Type B,57,Poor,89,1,Stormy,1,4072,3.6066350656940003,Yes,Highly Likely to Crash
1410,Type A,96,Poor,99,2,Stormy,3,6478,6.374803847016929,Yes,Highly Likely to Crash
1411,Type B,56,Average,96,0,Stormy,3,793,14.870597167637769,Yes,Highly Likely to Crash
1412,Type B,60,Poor,88,5,Clear,1,1838,4.7780620796588025,No,Highly Likely to Crash
1413,Type A,88,Good,76,2,Cloudy,3,16651,11.674172721465453,No,Inconclusive
1414,Type A,53,Good,90,5,Stormy,3,15880,1.8308645807929427,No,Highly Likely to Crash
1415,Type A,74,Poor,87,4,Stormy,3,13545,7.544563163707215,Yes,Highly Likely to Crash
1416,Type B,61,Average,99,3,Stormy,3,2998,1.8177418468400386,Yes,Highly Likely to Crash
1417,Type B,75,Poor,99,0,Clear,2,15613,7.661199073310576,No,Highly Likely to Crash
1418,Type C,87,Good,74,2,Cloudy,3,6228,1.3857344513312766,No,Inconclusive
1419,Type A,95,Good,75,0,Cloudy,3,19377,9.586126800774668,Yes,Less Likely to Crash
1420,Type B,61,Good,63,4,Stormy,3,3588,9.211127399704326,Yes,Highly Likely to Crash
1421,Type B,92,Poor,63,5,Stormy,2,6781,12.169805116824977,Yes,Highly Likely to Crash
1422,Type A,100,Good,63,3,Cloudy,0,15686,9.166006830818858,No,Inconclusive
1423,Type C,86,Average,74,0,Stormy,3,13339,13.963988272915026,Yes,Inconclusive
1424,Type A,95,Poor,85,5,Stormy,0,18981,11.963464597040986,Yes,Highly Likely to Crash
1425,Type C,73,Poor,53,4,Stormy,0,17271,2.857191284512051,Yes,Highly Likely to Crash
1426,Type B,65,Good,96,4,Clear,1,798,4.716624636285273,Yes,Highly Likely to Crash
1427,Type C,62,Good,64,4,Clear,1,12152,1.3672283687631097,No,Highly Likely to Crash
1428,Type B,74,Average,81,5,Cloudy,0,4561,6.405876022019302,Yes,Highly Likely to Crash
1429,Type A,53,Poor,67,2,Clear,2,973,8.133507552772304,No,Highly Likely to Crash
1430,Type A,60,Good,63,1,Clear,3,16661,14.24324748294893,Yes,Highly Likely to Crash
1431,Type A,81,Average,50,0,Cloudy,3,5557,8.311744051945457,No,Inconclusive
1432,Type C,98,Good,91,1,Clear,3,13579,11.934392587201257,No,Inconclusive
1433,Type B,56,Poor,69,4,Cloudy,1,11905,4.752336176300616,No,Highly Likely to Crash
1434,Type A,95,Good,59,1,Stormy,1,16668,3.144218121623644,No,Inconclusive
1435,Type A,60,Poor,59,5,Cloudy,3,5789,12.35170755356754,Yes,Highly Likely to Crash
1436,Type B,77,Good,73,4,Cloudy,0,9140,4.463952035244279,No,Highly Likely to Crash
1437,Type A,90,Poor,83,4,Cloudy,1,2721,13.198691647395489,No,Highly Likely to Crash
1438,Type B,72,Average,77,3,Stormy,3,10674,3.377898259687483,Yes,Inconclusive
1439,Type B,94,Poor,76,3,Stormy,0,19526,12.922211574211499,No,Highly Likely to Crash
1440,Type B,72,Average,89,5,Stormy,3,18804,11.8198661210423,No,Highly Likely to Crash
1441,Type B,99,Poor,50,5,Cloudy,1,7575,9.557089423968453,Yes,Highly Likely to Crash
1442,Type B,77,Average,82,1,Cloudy,2,2816,12.903089489516626,No,Inconclusive
1443,Type C,92,Good,53,0,Cloudy,2,18158,5.6299416503544615,Yes,Less Likely to Crash
1444,Type A,96,Poor,56,1,Cloudy,1,14181,3.3244780393154287,No,Highly Likely to Crash
1445,Type C,75,Good,58,5,Cloudy,0,15453,3.1985694514623786,No,Highly Likely to Crash
1446,Type A,74,Average,65,0,Cloudy,3,5483,4.785024793419858,No,Inconclusive
1447,Type C,78,Poor,54,1,Cloudy,1,8334,7.247179850520739,Yes,Highly Likely to Crash
1448,Type B,68,Poor,83,2,Clear,0,10998,13.264320111137174,No,Highly Likely to Crash
1449,Type A,82,Good,72,2,Stormy,3,17143,2.2534991302083114,Yes,Inconclusive
1450,Type A,85,Poor,92,0,Clear,3,3706,13.813388622086492,No,Highly Likely to Crash
1451,Type C,63,Poor,99,3,Stormy,1,16320,13.956925944761208,No,Highly Likely to Crash
1452,Type C,63,Good,74,0,Cloudy,3,10204,11.181309469370108,No,Highly Likely to Crash
1453,Type A,84,Poor,100,1,Clear,2,13430,13.603970590763254,No,Highly Likely to Crash
1454,Type C,79,Good,62,4,Cloudy,2,10820,11.77981282249147,Yes,Highly Likely to Crash
1455,Type C,77,Good,73,2,Clear,3,5678,8.396213512180552,Yes,Inconclusive
1456,Type C,66,Good,60,4,Clear,1,5858,9.41050316716322,Yes,Highly Likely to Crash
1457,Type B,52,Good,100,2,Cloudy,3,5007,9.795142670686158,No,Highly Likely to Crash
1458,Type B,65,Good,66,1,Clear,1,4008,2.776505933763553,Yes,Highly Likely to Crash
1459,Type C,95,Average,86,2,Clear,1,13402,3.7027579252451464,Yes,Inconclusive
1460,Type C,79,Average,62,0,Stormy,2,15738,8.327162134182252,No,Inconclusive
1461,Type B,78,Good,76,4,Cloudy,2,7254,2.6131963787931856,Yes,Highly Likely to Crash
1462,Type B,94,Average,69,5,Cloudy,0,9421,14.509710144645556,No,Highly Likely to Crash
1463,Type A,64,Average,82,4,Clear,1,11704,8.099781899201902,No,Highly Likely to Crash
1464,Type A,95,Poor,91,1,Cloudy,3,6016,6.321206027382834,Yes,Highly Likely to Crash
1465,Type B,74,Good,81,5,Stormy,1,6299,3.205560526281829,Yes,Highly Likely to Crash
1466,Type C,100,Average,57,4,Stormy,2,3429,6.831474564652608,No,Highly Likely to Crash
1467,Type C,87,Poor,78,1,Cloudy,1,14385,5.233966617895684,No,Highly Likely to Crash
1468,Type C,91,Poor,89,3,Cloudy,0,2030,2.230980396828485,No,Highly Likely to Crash
1469,Type C,96,Good,68,0,Stormy,3,9802,14.5380741333323,No,Less Likely to Crash
1470,Type A,87,Good,55,2,Cloudy,1,16638,4.709693344685254,Yes,Inconclusive
1471,Type B,72,Poor,93,2,Clear,3,1215,10.66658338986934,No,Highly Likely to Crash
1472,Type C,74,Good,88,2,Cloudy,3,10033,2.2785150255139186,Yes,Inconclusive
1473,Type A,91,Good,97,3,Clear,2,8027,13.784366130574815,No,Inconclusive
1474,Type C,56,Poor,90,0,Stormy,1,7723,9.270520321848078,Yes,Highly Likely to Crash
1475,Type B,71,Poor,70,4,Cloudy,3,13921,10.196208005272569,No,Highly Likely to Crash
1476,Type A,66,Good,71,4,Stormy,2,14566,11.94498104936416,No,Highly Likely to Crash
1477,Type B,67,Average,91,0,Cloudy,0,11779,9.48281460131117,Yes,Highly Likely to Crash
1478,Type B,98,Good,59,5,Clear,0,17085,1.9927044177855788,No,Highly Likely to Crash
1479,Type A,90,Average,59,0,Cloudy,1,2640,7.014153930850137,Yes,Inconclusive
1480,Type A,59,Poor,78,2,Stormy,3,9748,4.668421306636025,No,Highly Likely to Crash
1481,Type A,59,Average,65,4,Clear,1,4171,7.814038289536573,No,Highly Likely to Crash
1482,Type A,56,Poor,50,0,Cloudy,3,9110,6.660552263544332,No,Highly Likely to Crash
1483,Type A,97,Good,66,4,Stormy,2,7870,12.571463642183867,Yes,Highly Likely to Crash
1484,Type A,99,Good,79,0,Stormy,0,19482,4.458665730936793,No,Less Likely to Crash
1485,Type A,87,Poor,75,1,Cloudy,0,12522,3.8182148298912777,Yes,Highly Likely to Crash
1486,Type C,76,Poor,95,2,Stormy,0,18828,14.413208136308048,No,Highly Likely to Crash
1487,Type B,82,Poor,68,0,Clear,0,3429,14.293232594448513,Yes,Highly Likely to Crash
1488,Type A,50,Good,70,3,Cloudy,1,11459,14.908509508846414,Yes,Highly Likely to Crash
1489,Type C,93,Good,66,0,Clear,3,3883,8.957328113648721,No,Less Likely to Crash
1490,Type C,83,Average,95,1,Stormy,1,17277,2.58401544824598,No,Inconclusive
1491,Type C,53,Poor,89,3,Stormy,2,11611,13.32234837032076,No,Highly Likely to Crash
1492,Type B,66,Average,70,3,Stormy,0,16070,3.031609779606968,No,Highly Likely to Crash
1493,Type A,53,Good,90,0,Clear,3,7510,3.1783205644081858,Yes,Highly Likely to Crash
1494,Type C,92,Average,89,1,Stormy,1,9323,3.707565944805231,Yes,Inconclusive
1495,Type B,75,Average,94,3,Cloudy,3,821,10.1478636955033,No,Inconclusive
1496,Type B,53,Good,98,2,Cloudy,1,18577,2.5007867451825145,Yes,Highly Likely to Crash
1497,Type B,50,Good,68,5,Stormy,3,17947,11.895942806164724,No,Highly Likely to Crash
1498,Type C,56,Poor,56,2,Cloudy,3,3611,1.8155223434127585,No,Highly Likely to Crash
1499,Type A,79,Average,66,4,Clear,0,11485,2.5462518494054818,No,Highly Likely to Crash
1500,Type C,99,Good,50,4,Clear,1,3586,7.0828199833314,No,Highly Likely to Crash
1501,Type C,58,Good,86,1,Stormy,2,13935,6.3084010272986095,No,Highly Likely to Crash
1502,Type A,84,Average,55,3,Cloudy,3,12662,14.855915757564075,Yes,Inconclusive
1503,Type A,57,Good,75,2,Cloudy,2,9650,14.536095394061846,No,Highly Likely to Crash
1504,Type A,73,Poor,51,2,Stormy,0,4643,3.6555453029787577,Yes,Highly Likely to Crash
1505,Type B,68,Poor,81,5,Clear,2,6832,14.253317631098476,No,Highly Likely to Crash
1506,Type A,85,Average,97,1,Stormy,3,6947,10.691666656167525,No,Inconclusive
1507,Type C,99,Poor,54,3,Cloudy,3,10274,6.723804317465276,No,Highly Likely to Crash
1508,Type A,92,Good,86,1,Cloudy,3,8363,11.354833050253179,No,Inconclusive
1509,Type C,76,Good,80,0,Stormy,1,3676,13.601973519891654,Yes,Inconclusive
1510,Type B,81,Good,61,2,Clear,2,2916,3.52198175318565,Yes,Inconclusive
1511,Type C,63,Good,84,1,Clear,1,8168,3.743779659287256,No,Highly Likely to Crash
1512,Type C,67,Average,79,1,Stormy,3,9151,6.722090671187246,No,Highly Likely to Crash
1513,Type A,77,Poor,97,5,Cloudy,3,10986,3.36896479869099,No,Highly Likely to Crash
1514,Type A,78,Poor,55,0,Clear,0,19195,6.04556479988142,No,Highly Likely to Crash
1515,Type C,65,Good,64,4,Stormy,0,1729,10.039681378875198,Yes,Highly Likely to Crash
1516,Type A,84,Average,64,2,Cloudy,3,2030,12.379453754673968,Yes,Inconclusive
1517,Type B,96,Good,65,5,Clear,1,13317,5.227089127595592,No,Highly Likely to Crash
1518,Type B,80,Good,69,1,Clear,1,10079,4.944229573267732,Yes,Inconclusive
1519,Type A,53,Average,62,2,Stormy,3,3297,11.916401501448487,Yes,Highly Likely to Crash
1520,Type B,86,Average,93,4,Cloudy,2,1863,6.334367164035128,No,Highly Likely to Crash
1521,Type A,66,Good,91,1,Clear,1,5002,12.45865515016378,Yes,Highly Likely to Crash
1522,Type C,88,Poor,95,0,Stormy,3,17336,14.907324484608987,No,Highly Likely to Crash
1523,Type C,97,Good,80,2,Clear,0,13601,14.715361463772037,Yes,Inconclusive
1524,Type B,95,Poor,83,5,Cloudy,3,17461,10.277617367862046,Yes,Highly Likely to Crash
1525,Type A,75,Poor,78,0,Clear,1,11704,6.252984959284308,No,Highly Likely to Crash
1526,Type A,97,Average,52,4,Cloudy,3,7817,1.9168580326746774,Yes,Highly Likely to Crash
1527,Type B,88,Average,58,4,Clear,2,3764,11.33256885803885,Yes,Highly Likely to Crash
1528,Type C,90,Good,60,2,Clear,2,18815,14.691541374745416,Yes,Inconclusive
1529,Type B,53,Poor,60,4,Stormy,1,4742,1.9517824850187937,Yes,Highly Likely to Crash
1530,Type C,79,Poor,74,3,Clear,3,13193,1.086347948688962,Yes,Highly Likely to Crash
1531,Type A,79,Good,71,5,Cloudy,2,17066,12.644866752144045,No,Highly Likely to Crash
1532,Type C,71,Good,91,2,Stormy,2,1137,2.4316254685353202,No,Inconclusive
1533,Type B,60,Good,95,3,Cloudy,0,19889,2.1427217262381126,Yes,Highly Likely to Crash
1534,Type A,51,Average,58,4,Cloudy,1,17408,13.7447049551245,No,Highly Likely to Crash
1535,Type B,93,Good,69,2,Stormy,0,14702,2.1138513634063387,Yes,Inconclusive
1536,Type B,61,Good,70,3,Cloudy,0,2870,2.596247166855966,Yes,Highly Likely to Crash
1537,Type C,79,Poor,59,4,Clear,2,9976,8.974031453775705,No,Highly Likely to Crash
1538,Type B,85,Good,71,1,Stormy,3,18519,11.595398422466078,Yes,Inconclusive
1539,Type C,67,Poor,78,1,Clear,0,10415,6.594011621999181,No,Highly Likely to Crash
1540,Type A,75,Poor,58,0,Clear,1,11138,6.888248249665466,Yes,Highly Likely to Crash
1541,Type C,56,Average,54,1,Cloudy,1,10273,9.85676382011594,Yes,Highly Likely to Crash
1542,Type A,50,Good,89,3,Cloudy,3,11152,8.075954127630936,No,Highly Likely to Crash
1543,Type C,75,Good,60,5,Clear,1,17463,1.260796098888045,Yes,Highly Likely to Crash
1544,Type B,72,Poor,50,1,Stormy,0,16243,2.5901646078107983,No,Highly Likely to Crash
1545,Type C,75,Average,91,2,Clear,3,4441,9.142400217355638,No,Inconclusive
1546,Type C,94,Average,50,2,Clear,1,8887,12.111275135770125,Yes,Inconclusive
1547,Type A,55,Good,88,2,Cloudy,1,9024,11.683444036019383,Yes,Highly Likely to Crash
1548,Type B,55,Poor,95,1,Cloudy,0,3591,11.36079183011103,No,Highly Likely to Crash
1549,Type C,93,Good,54,1,Clear,0,5218,11.797816626913876,Yes,Inconclusive
1550,Type B,57,Good,98,0,Clear,0,9349,1.6222086685433228,Yes,Highly Likely to Crash
1551,Type C,73,Good,71,5,Cloudy,0,18136,13.53142190947624,No,Highly Likely to Crash
1552,Type C,71,Good,75,5,Clear,3,9215,13.449963472963445,Yes,Highly Likely to Crash
1553,Type B,68,Poor,55,4,Cloudy,3,10956,8.446935847366596,Yes,Highly Likely to Crash
1554,Type C,86,Average,81,0,Clear,3,13777,4.480320651762716,No,Inconclusive
1555,Type B,67,Good,97,3,Stormy,2,16450,9.290498618940068,Yes,Highly Likely to Crash
1556,Type C,80,Good,60,2,Stormy,0,2922,8.810402969254012,Yes,Inconclusive
1557,Type A,86,Good,59,1,Clear,0,8727,4.121400907662944,Yes,Inconclusive
1558,Type B,79,Good,96,4,Cloudy,3,9467,9.443822505001368,Yes,Highly Likely to Crash
1559,Type C,91,Average,88,4,Clear,1,16911,12.162117625408536,Yes,Highly Likely to Crash
1560,Type C,82,Average,83,1,Clear,1,8039,12.285496106433586,Yes,Inconclusive
1561,Type A,59,Average,80,0,Cloudy,0,585,1.8357695119188013,No,Highly Likely to Crash
1562,Type B,86,Average,61,4,Clear,0,7409,3.760286365374501,Yes,Highly Likely to Crash
1563,Type C,61,Good,100,5,Cloudy,3,13816,10.355127048304736,Yes,Highly Likely to Crash
1564,Type A,79,Poor,93,0,Clear,0,5153,13.03764723580023,Yes,Highly Likely to Crash
1565,Type C,76,Average,65,1,Cloudy,1,8533,8.297039154289017,No,Inconclusive
1566,Type B,88,Average,87,0,Clear,1,11248,10.905359356689726,Yes,Inconclusive
1567,Type C,58,Good,52,5,Stormy,0,14425,1.295008149196608,No,Highly Likely to Crash
1568,Type C,70,Good,51,2,Cloudy,3,5566,9.51789136639559,No,Inconclusive
1569,Type C,61,Good,54,1,Stormy,3,13004,14.466728022112424,No,Highly Likely to Crash
1570,Type C,78,Good,60,5,Cloudy,1,16396,10.254204498458332,No,Highly Likely to Crash
1571,Type A,82,Poor,74,1,Cloudy,3,17140,13.911860032404476,No,Highly Likely to Crash
1572,Type A,92,Poor,84,5,Cloudy,1,12498,8.924132413835032,Yes,Highly Likely to Crash
1573,Type B,64,Average,84,5,Cloudy,0,14264,12.807302328862987,Yes,Highly Likely to Crash
1574,Type A,51,Poor,71,4,Clear,1,1947,2.7382737156000654,Yes,Highly Likely to Crash
1575,Type A,88,Average,86,4,Clear,0,13111,2.7291856804154313,Yes,Highly Likely to Crash
1576,Type B,93,Average,71,4,Cloudy,3,16358,2.682510608741124,No,Highly Likely to Crash
1577,Type A,67,Poor,60,2,Clear,2,6200,7.843893728513928,No,Highly Likely to Crash
1578,Type A,52,Average,81,2,Cloudy,2,3843,5.623689851719611,No,Highly Likely to Crash
1579,Type B,56,Good,84,5,Cloudy,2,17577,11.068601952374504,No,Highly Likely to Crash
1580,Type B,92,Average,80,3,Stormy,1,10757,13.63670680020556,No,Inconclusive
1581,Type B,67,Good,94,1,Cloudy,2,14942,9.671247600028746,No,Highly Likely to Crash
1582,Type C,93,Poor,57,4,Cloudy,1,12292,3.9849477853801103,Yes,Highly Likely to Crash
1583,Type C,87,Poor,69,1,Clear,3,12912,14.032276145407591,Yes,Highly Likely to Crash
1584,Type B,86,Average,91,5,Cloudy,0,4165,8.390002733931757,Yes,Highly Likely to Crash
1585,Type B,82,Good,83,0,Cloudy,2,3174,11.079237743900574,Yes,Inconclusive
1586,Type B,93,Average,53,5,Stormy,1,11090,13.46708190609248,No,Highly Likely to Crash
1587,Type C,80,Poor,67,2,Clear,3,17234,14.857647049384637,No,Highly Likely to Crash
1588,Type C,60,Average,100,3,Clear,3,9340,8.084895287423434,No,Highly Likely to Crash
1589,Type A,53,Average,53,0,Stormy,2,12562,12.312878061571434,Yes,Highly Likely to Crash
1590,Type A,67,Good,69,1,Cloudy,3,7544,8.936138914455388,Yes,Highly Likely to Crash
1591,Type B,53,Poor,58,2,Stormy,3,2563,7.810355243941283,Yes,Highly Likely to Crash
1592,Type C,98,Average,65,4,Clear,3,13511,8.527975269868058,Yes,Highly Likely to Crash
1593,Type C,83,Good,75,0,Stormy,1,7913,7.779853413503858,Yes,Inconclusive
1594,Type C,78,Average,87,2,Clear,3,18705,6.894393663125529,Yes,Inconclusive
1595,Type B,73,Good,74,1,Stormy,3,12964,11.13208966719583,No,Inconclusive
1596,Type A,71,Good,53,5,Cloudy,3,11282,4.495461423267229,Yes,Highly Likely to Crash
1597,Type B,51,Average,90,1,Cloudy,3,18469,9.629340521284009,Yes,Highly Likely to Crash
1598,Type A,93,Poor,94,0,Clear,3,10370,10.981442488702013,Yes,Highly Likely to Crash
1599,Type A,55,Poor,90,0,Stormy,1,5159,13.48927166746987,No,Highly Likely to Crash
1600,Type B,91,Good,87,5,Clear,3,2780,5.646280085126199,Yes,Highly Likely to Crash
1601,Type A,74,Poor,68,0,Cloudy,3,4249,13.0483874492249,Yes,Highly Likely to Crash
1602,Type A,70,Good,63,3,Clear,0,3038,14.234076398562094,No,Inconclusive
1603,Type C,65,Poor,70,4,Cloudy,3,17327,10.081511358384063,Yes,Highly Likely to Crash
1604,Type A,80,Average,64,2,Clear,3,18951,11.800062110922182,Yes,Inconclusive
1605,Type B,63,Poor,52,5,Stormy,1,12490,6.679897437464227,No,Highly Likely to Crash
1606,Type B,88,Good,86,1,Cloudy,3,3034,14.329895876985699,No,Inconclusive
1607,Type A,77,Good,99,1,Clear,1,588,10.392060371209938,Yes,Inconclusive
1608,Type C,81,Poor,95,4,Cloudy,2,7077,5.342195320648745,No,Highly Likely to Crash
1609,Type C,77,Average,65,0,Stormy,3,18825,6.65965886127632,No,Inconclusive
1610,Type A,100,Good,63,0,Cloudy,0,8763,9.648577197842066,Yes,Less Likely to Crash
1611,Type A,98,Good,58,1,Stormy,1,17705,4.277892303172131,No,Inconclusive
1612,Type B,58,Good,96,4,Cloudy,2,8572,11.55480166076409,No,Highly Likely to Crash
1613,Type A,94,Good,56,1,Stormy,0,17699,4.145681227775004,Yes,Inconclusive
1614,Type C,71,Good,63,0,Cloudy,1,18582,9.28504874079315,No,Inconclusive
1615,Type A,81,Average,55,5,Stormy,2,13038,10.758091181927583,Yes,Highly Likely to Crash
1616,Type B,54,Poor,70,2,Clear,0,11608,13.036470539261542,No,Highly Likely to Crash
1617,Type B,72,Average,64,0,Clear,3,7862,11.274605821045064,No,Inconclusive
1618,Type B,54,Average,57,5,Cloudy,0,10734,12.18355128173199,Yes,Highly Likely to Crash
1619,Type B,91,Good,83,2,Stormy,0,6191,13.781045220969876,No,Inconclusive
1620,Type B,81,Average,89,3,Clear,0,2453,9.368801857109013,No,Inconclusive
1621,Type A,59,Good,50,4,Cloudy,1,5463,12.847920149268234,No,Highly Likely to Crash
1622,Type A,88,Average,81,5,Clear,3,6486,4.246211234352409,No,Highly Likely to Crash
1623,Type A,64,Good,98,3,Stormy,3,8252,12.406264391087621,No,Highly Likely to Crash
1624,Type A,56,Good,100,0,Cloudy,1,11945,4.1036143782907235,Yes,Highly Likely to Crash
1625,Type B,78,Average,54,4,Stormy,0,5491,14.084809062398918,No,Highly Likely to Crash
1626,Type C,96,Average,79,5,Stormy,3,8947,5.619626724407361,Yes,Highly Likely to Crash
1627,Type A,52,Poor,71,0,Stormy,0,2431,3.40573197445858,No,Highly Likely to Crash
1628,Type C,68,Poor,69,4,Clear,3,17995,3.0743626418088263,No,Highly Likely to Crash
1629,Type A,59,Poor,65,4,Cloudy,1,1372,3.6218110371296532,Yes,Highly Likely to Crash
1630,Type A,77,Average,56,0,Stormy,2,8454,7.265564319884323,No,Inconclusive
1631,Type C,78,Average,56,0,Clear,0,18445,8.310091475120826,No,Inconclusive
1632,Type B,64,Good,99,5,Stormy,3,6026,13.793001655334859,No,Highly Likely to Crash
1633,Type A,84,Poor,99,4,Clear,3,13420,6.3342072409877375,No,Highly Likely to Crash
1634,Type A,55,Good,51,5,Cloudy,3,6060,4.044752323018757,Yes,Highly Likely to Crash
1635,Type A,61,Good,96,4,Cloudy,1,15889,11.413495565751342,Yes,Highly Likely to Crash
1636,Type C,96,Good,63,5,Cloudy,1,9585,2.8851617110004835,No,Highly Likely to Crash
1637,Type B,87,Good,80,0,Cloudy,2,8215,13.491967208212632,Yes,Inconclusive
1638,Type C,62,Poor,99,0,Stormy,1,19568,6.731594892923256,Yes,Highly Likely to Crash
1639,Type C,78,Good,90,1,Clear,0,9938,9.593780771169715,No,Inconclusive
1640,Type B,68,Average,63,5,Cloudy,1,17630,3.6065807966313166,No,Highly Likely to Crash
1641,Type C,52,Average,54,1,Stormy,3,5743,3.037408087117714,Yes,Highly Likely to Crash
1642,Type B,57,Average,60,1,Cloudy,0,7326,12.183751246567978,Yes,Highly Likely to Crash
1643,Type A,57,Poor,89,3,Cloudy,1,4585,7.015832086803838,Yes,Highly Likely to Crash
1644,Type B,69,Good,54,4,Cloudy,0,6617,14.814399378166943,Yes,Highly Likely to Crash
1645,Type A,96,Poor,78,2,Clear,0,17890,8.340171222334323,Yes,Highly Likely to Crash
1646,Type C,53,Good,60,3,Clear,1,9582,12.839140750607655,Yes,Highly Likely to Crash
1647,Type C,100,Poor,54,4,Clear,0,11183,14.719491502100093,No,Highly Likely to Crash
1648,Type A,70,Poor,98,2,Cloudy,3,15384,4.936102261119022,No,Highly Likely to Crash
1649,Type C,52,Good,81,1,Stormy,3,3376,12.212343970175125,Yes,Highly Likely to Crash
1650,Type B,94,Poor,85,2,Stormy,1,18910,1.308086286545044,No,Highly Likely to Crash
1651,Type A,57,Good,64,0,Stormy,1,6056,10.516557652854404,No,Highly Likely to Crash
1652,Type C,72,Average,68,0,Cloudy,3,5741,11.432815275649892,Yes,Inconclusive
1653,Type A,65,Average,71,5,Clear,1,16406,7.683091974097033,Yes,Highly Likely to Crash
1654,Type B,62,Average,83,4,Stormy,3,15414,3.269472941645028,Yes,Highly Likely to Crash
1655,Type B,52,Poor,66,3,Cloudy,0,6169,9.634087673098296,No,Highly Likely to Crash
1656,Type C,97,Average,61,1,Cloudy,1,5899,13.565401232097805,Yes,Inconclusive
1657,Type B,58,Good,74,4,Stormy,2,9433,14.038468794095765,No,Highly Likely to Crash
1658,Type A,63,Average,66,1,Stormy,3,14148,11.445433465874439,No,Highly Likely to Crash
1659,Type B,62,Average,59,0,Cloudy,3,19892,4.691985617958428,Yes,Highly Likely to Crash
1660,Type A,56,Poor,77,3,Stormy,0,10668,13.18457696483888,No,Highly Likely to Crash
1661,Type A,64,Good,67,3,Cloudy,2,7995,13.44352293382373,Yes,Highly Likely to Crash
1662,Type B,56,Poor,100,0,Stormy,2,16105,6.141390880433089,Yes,Highly Likely to Crash
1663,Type C,87,Poor,67,2,Clear,2,14704,3.5617443116115295,No,Highly Likely to Crash
1664,Type B,83,Good,94,3,Cloudy,3,19795,13.245232077867154,Yes,Inconclusive
1665,Type A,90,Poor,81,2,Clear,3,7397,13.391362413539401,Yes,Highly Likely to Crash
1666,Type A,71,Good,63,1,Stormy,2,11776,2.412685183716997,Yes,Inconclusive
1667,Type B,73,Average,65,3,Cloudy,1,5985,14.537780091114836,Yes,Inconclusive
1668,Type C,98,Good,99,5,Stormy,2,6338,8.463127743103168,Yes,Highly Likely to Crash
1669,Type C,86,Good,67,0,Cloudy,0,17657,14.912222729201108,Yes,Inconclusive
1670,Type A,93,Good,65,2,Stormy,2,2644,7.23011550303354,No,Inconclusive
1671,Type A,50,Poor,66,5,Clear,2,14906,8.465966751033672,Yes,Highly Likely to Crash
1672,Type C,59,Good,56,1,Clear,2,9684,4.7251596475974385,No,Highly Likely to Crash
1673,Type B,92,Good,61,1,Stormy,1,6480,13.585264237215172,Yes,Inconclusive
1674,Type A,65,Good,83,3,Clear,2,15192,7.211969639016083,Yes,Highly Likely to Crash
1675,Type A,95,Average,59,3,Clear,2,15379,12.404596750783373,No,Inconclusive
1676,Type C,57,Good,54,5,Stormy,3,12013,2.1162798513311576,No,Highly Likely to Crash
1677,Type B,98,Poor,70,4,Cloudy,2,12534,12.035452798927377,Yes,Highly Likely to Crash
1678,Type C,74,Good,52,4,Stormy,0,8641,7.863403991520649,Yes,Highly Likely to Crash
1679,Type B,99,Good,68,3,Cloudy,3,15823,1.0757103162634836,No,Inconclusive
1680,Type B,61,Average,94,4,Clear,1,8695,4.167681145983129,No,Highly Likely to Crash
