FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,AccidentOccurred
2084,A320,9.39,3.75,6.63,Yes,Rain,No,8.78,7.4,Yes
2085,A380,3.99,4.68,9.58,No,Snow,Yes,5.19,9.16,No
2086,A350,2.8,3.4,0.34,Yes,Thunderstorm,Yes,1.19,8.63,No
2087,A380,7.52,5.83,7.01,Yes,Rain,Yes,6.66,6.86,Yes
2088,B737,9.54,7.38,1.76,No,Fog,No,5.15,4.51,Yes
2089,A380,0.59,0.6,1.88,No,Rain,Yes,5.23,6.41,No
2090,B787,4.68,0.99,6.58,No,Snow,No,3.06,5.51,No
2091,A380,6.01,5.74,1.36,Yes,Clear,No,3.36,6.6,Yes
2092,A350,3.57,4.92,5.33,No,Rain,No,8.22,1.44,No
2093,A320,5.37,5.01,3.86,Yes,Thunderstorm,No,3.51,1.61,No
2094,A380,0.94,6.99,1.01,Yes,Clear,Yes,0.28,0.9,No
2095,B787,7.16,8.07,7.59,No,Clear,No,3.81,2.21,Yes
2096,A380,1.03,8.53,8.93,No,Fog,No,2.12,4.84,No
2097,B737,4.75,5.66,9.56,Yes,Clear,No,5.24,2.09,No
2098,B737,6.71,1.7,3.6,No,Thunderstorm,Yes,3.09,5.72,No
2099,A380,4.93,8.16,1.15,Yes,Clear,No,7.18,7.58,No
2100,A320,8.26,1.8,4.25,Yes,Fog,Yes,0.14,9.97,Yes
2101,B737,2.49,6.65,2.02,Yes,Rain,No,8.31,4.53,No
2102,A380,3.44,6.76,9.0,No,Fog,No,7.36,5.03,Yes
2103,B737,3.98,5.36,1.81,Yes,Thunderstorm,No,7.15,9.34,No
2104,A320,7.95,3.06,1.72,No,Thunderstorm,Yes,6.72,9.25,Yes
2105,B737,3.24,6.2,4.49,No,Fog,Yes,4.51,2.18,Yes
2106,A350,6.26,5.48,8.41,Yes,Thunderstorm,No,6.11,9.97,No
2107,A380,7.45,5.0,6.66,Yes,Clear,No,0.31,0.53,Yes
2108,A320,6.05,8.79,9.46,Yes,Thunderstorm,No,8.48,3.41,No
2109,A350,6.16,9.9,1.64,Yes,Clear,No,7.09,9.27,Yes
2110,A380,6.58,1.36,1.33,No,Clear,Yes,6.69,8.1,No
2111,A320,2.21,5.84,8.38,Yes,Thunderstorm,No,4.23,6.93,No
2112,A380,9.18,2.93,2.73,Yes,Clear,No,6.58,2.85,Yes
2113,A350,1.04,3.15,8.2,No,Snow,No,1.32,3.24,No
2114,B787,9.19,3.32,9.82,Yes,Thunderstorm,No,6.05,6.67,Yes
2115,A350,9.8,1.62,3.74,No,Thunderstorm,No,3.59,2.2,No
2116,B737,0.36,1.96,4.1,No,Thunderstorm,Yes,0.68,4.73,No
2117,A350,0.02,5.81,7.73,No,Thunderstorm,No,9.88,8.91,Yes
2118,A350,6.04,2.34,2.84,Yes,Rain,No,1.45,3.6,Yes
2119,A380,0.5,5.74,9.66,Yes,Snow,No,6.18,5.32,No
2120,B737,3.31,4.11,3.69,No,Clear,No,1.54,4.93,Yes
2121,A380,3.36,8.01,4.76,No,Rain,No,5.22,0.61,Yes
2122,A320,4.89,0.61,6.81,No,Rain,No,5.84,9.19,Yes
2123,A350,5.67,0.94,4.2,Yes,Thunderstorm,Yes,1.16,4.45,Yes
2124,A380,0.51,8.07,9.43,Yes,Thunderstorm,Yes,5.2,0.49,Yes
2125,A350,9.37,4.89,1.16,No,Rain,No,8.72,7.61,No
2126,B737,6.72,9.85,6.75,No,Thunderstorm,No,4.41,5.97,No
2127,B787,1.39,4.42,7.67,Yes,Snow,No,1.51,1.41,Yes
2128,A350,0.83,1.2,5.54,No,Fog,Yes,5.27,2.98,No
2129,A320,3.54,2.47,9.32,No,Rain,Yes,4.01,0.51,Yes
2130,B737,5.45,1.47,9.51,Yes,Rain,Yes,9.98,7.5,Yes
2131,A320,0.3,6.76,6.26,Yes,Thunderstorm,Yes,3.64,1.58,Yes
2132,A380,1.02,5.77,3.73,Yes,Clear,Yes,2.16,3.03,Yes
2133,A350,0.46,5.32,2.32,Yes,Fog,No,2.46,4.26,No
2134,A350,4.86,9.71,2.81,Yes,Rain,Yes,4.59,8.26,No
2135,A320,2.68,3.4,1.47,No,Rain,No,5.08,5.7,Yes
2136,B737,6.44,8.89,4.54,Yes,Thunderstorm,No,6.86,3.89,Yes
2137,A380,9.45,4.82,8.06,No,Clear,Yes,2.95,5.87,Yes
2138,B787,5.43,1.16,2.07,Yes,Clear,No,0.02,6.39,Yes
2139,A350,0.45,9.97,4.06,No,Rain,Yes,5.65,7.97,No
2140,B737,9.63,3.82,4.47,No,Snow,Yes,5.01,2.95,No
2141,B787,5.79,9.64,5.66,No,Thunderstorm,No,7.82,2.77,No
2142,B787,4.78,9.96,8.69,Yes,Clear,No,6.34,6.05,Yes
2143,A380,9.18,9.71,7.84,No,Rain,Yes,5.21,5.87,No
2144,B737,8.89,9.97,0.06,Yes,Thunderstorm,No,3.81,7.8,Yes
2145,B737,5.04,1.24,6.1,No,Clear,Yes,1.79,4.07,Yes
2146,B787,6.81,5.51,3.81,No,Fog,Yes,5.37,1.34,No
2147,A320,7.38,0.35,7.85,No,Fog,Yes,4.42,1.85,No
2148,B737,2.44,3.65,4.9,No,Snow,Yes,6.91,2.02,Yes
2149,A380,1.55,0.38,4.96,Yes,Rain,Yes,5.48,9.03,Yes
2150,B737,0.69,4.61,7.8,Yes,Rain,Yes,6.31,2.51,Yes
2151,A320,4.49,2.96,8.03,Yes,Clear,Yes,1.74,7.9,No
2152,A350,8.43,4.8,6.6,No,Rain,No,6.1,2.07,No
2153,A380,4.84,6.05,8.27,No,Rain,Yes,4.82,8.31,No
2154,B737,9.37,5.33,2.64,Yes,Thunderstorm,No,6.68,6.63,Yes
2155,B787,1.19,0.09,5.6,No,Fog,No,1.34,0.76,No
2156,A320,6.86,1.04,9.81,Yes,Rain,Yes,8.99,2.19,No
2157,A380,9.77,0.18,2.69,Yes,Thunderstorm,Yes,1.25,7.07,No
2158,A380,9.6,7.23,7.13,Yes,Snow,No,7.42,0.7,Yes
2159,A350,5.82,8.76,4.45,No,Snow,Yes,6.5,4.66,Yes
2160,A380,1.06,7.25,9.31,Yes,Clear,Yes,7.17,9.88,Yes
2161,A350,9.17,1.27,4.53,No,Clear,No,5.16,6.24,No
2162,A350,7.78,0.33,0.8,Yes,Thunderstorm,No,2.94,5.14,No
2163,A380,2.74,8.12,9.45,Yes,Rain,Yes,4.34,6.16,No
2164,B737,4.07,8.43,9.61,Yes,Clear,No,6.37,5.81,Yes
2165,B787,3.54,0.26,7.09,No,Thunderstorm,No,3.1,1.16,No
2166,A350,7.09,8.99,4.75,No,Thunderstorm,Yes,4.4,4.87,Yes
2167,A350,3.55,9.58,2.48,Yes,Thunderstorm,Yes,1.69,3.35,Yes
2168,B737,3.02,6.4,2.77,Yes,Clear,No,7.6,4.16,No
2169,B737,2.75,5.44,0.01,Yes,Thunderstorm,Yes,2.77,1.89,No
2170,B737,9.54,9.11,1.12,No,Snow,No,6.42,5.25,No
2171,B787,4.63,9.32,2.97,Yes,Clear,Yes,3.29,7.38,No
2172,A380,1.96,9.82,5.31,No,Clear,No,9.69,3.12,No
2173,B787,9.49,6.11,7.27,Yes,Snow,Yes,5.03,8.42,Yes
2174,A350,3.8,8.65,6.32,No,Fog,Yes,4.26,4.76,No
2175,B787,9.98,4.84,0.59,Yes,Thunderstorm,Yes,7.97,6.63,Yes
2176,B787,7.43,2.35,4.53,Yes,Thunderstorm,No,4.68,3.36,Yes
2177,A380,5.82,7.1,4.5,Yes,Rain,Yes,1.21,8.1,No
2178,A320,9.13,5.27,2.61,No,Snow,No,4.78,3.7,Yes
2179,A320,8.18,0.26,1.49,Yes,Rain,No,9.32,5.15,No
2180,B787,4.38,5.35,4.99,No,Fog,No,5.74,6.99,No
2181,B737,3.01,4.11,8.86,Yes,Fog,No,1.59,2.65,Yes
2182,A320,2.78,8.41,6.96,Yes,Snow,Yes,3.56,1.57,No
2183,A380,0.55,9.73,9.13,Yes,Fog,Yes,6.75,0.05,No
2184,B787,3.69,5.09,6.56,No,Snow,Yes,6.55,6.88,Yes
2185,B787,5.94,7.1,9.62,Yes,Rain,No,4.94,5.48,Yes
2186,B787,0.63,0.89,8.61,No,Snow,No,8.12,4.36,No
2187,A320,4.95,8.69,8.06,No,Snow,No,6.67,2.24,No
2188,A380,2.83,2.01,2.04,No,Rain,Yes,5.35,9.57,Yes
2189,B787,8.94,8.63,6.11,No,Fog,Yes,9.4,0.51,Yes
2190,A320,0.93,8.69,9.5,Yes,Rain,Yes,6.07,3.65,No
2191,A350,4.65,0.96,3.7,No,Snow,Yes,0.08,1.38,Yes
2192,B787,9.35,2.92,2.59,Yes,Clear,No,5.62,3.03,No
2193,A320,0.53,2.81,8.55,Yes,Clear,No,6.26,0.79,Yes
2194,B737,7.17,5.01,3.94,Yes,Thunderstorm,No,8.14,7.14,No
2195,B787,2.83,0.3,3.2,Yes,Rain,No,2.87,7.28,Yes
2196,A380,0.72,0.41,0.11,No,Snow,No,7.55,4.0,No
2197,B787,6.54,6.77,2.18,No,Snow,Yes,0.99,0.02,Yes
2198,A350,1.03,9.44,7.4,Yes,Snow,Yes,7.72,0.23,No
2199,A350,1.44,7.61,5.07,Yes,Fog,No,7.44,3.33,Yes
2200,A380,5.85,7.89,1.43,No,Thunderstorm,No,6.5,9.19,No
2201,A320,0.41,4.9,9.45,No,Clear,No,1.01,4.96,No
2202,B737,0.38,4.06,2.79,Yes,Rain,Yes,6.38,1.08,Yes
2203,A320,0.36,5.43,8.09,Yes,Clear,No,2.3,0.33,Yes
2204,A320,7.1,7.67,0.8,No,Fog,Yes,1.05,4.91,No
2205,A320,6.16,8.04,1.0,Yes,Fog,No,3.39,2.99,Yes
2206,B787,8.78,3.52,0.22,No,Snow,No,7.2,0.32,Yes
2207,B787,5.05,1.65,6.88,No,Clear,No,1.58,9.61,No
2208,B737,0.4,2.87,9.84,No,Snow,No,1.74,5.18,Yes
2209,B787,6.52,7.93,0.3,No,Clear,No,5.18,6.05,Yes
2210,B787,8.39,4.14,6.87,No,Rain,Yes,4.78,7.82,Yes
2211,A350,2.65,1.2,9.62,No,Rain,No,6.72,8.33,No
2212,A380,9.17,6.98,7.16,No,Thunderstorm,No,9.83,4.17,Yes
2213,B737,1.65,9.13,7.42,No,Clear,Yes,9.03,7.02,No
2214,B787,5.35,5.66,9.73,No,Snow,No,8.76,9.17,Yes
2215,B787,6.89,4.54,3.75,No,Fog,No,2.4,7.73,No
2216,B737,7.36,8.66,7.47,Yes,Snow,Yes,4.0,3.23,Yes
2217,B787,2.08,5.56,3.42,No,Clear,No,3.2,0.15,No
2218,B787,8.74,9.64,4.39,No,Rain,Yes,0.16,8.57,No
2219,A380,6.24,1.28,3.35,No,Fog,No,4.63,1.2,Yes
2220,A350,9.92,6.36,8.23,Yes,Clear,Yes,6.06,8.2,Yes
2221,A350,2.17,2.17,6.86,No,Thunderstorm,Yes,9.73,8.58,Yes
2222,A320,4.65,7.51,6.25,No,Clear,Yes,8.24,9.02,Yes
2223,A320,5.99,0.33,9.96,Yes,Fog,Yes,7.07,7.83,Yes
2224,B737,6.24,8.71,1.7,Yes,Fog,Yes,2.45,0.03,Yes
2225,A320,9.54,0.74,6.68,Yes,Snow,Yes,2.37,8.69,Yes
2226,A350,5.73,9.87,0.64,Yes,Clear,Yes,5.06,4.48,Yes
2227,B737,2.85,9.02,3.2,No,Clear,Yes,4.52,1.48,No
2228,A350,9.22,4.97,0.03,Yes,Clear,No,8.59,2.47,No
2229,A320,4.61,7.22,4.62,No,Rain,Yes,5.2,7.92,Yes
2230,A380,1.39,4.03,7.24,No,Fog,Yes,6.95,2.53,Yes
2231,B737,9.53,1.14,9.11,Yes,Clear,Yes,3.47,3.54,Yes
2232,A380,0.47,2.3,3.02,Yes,Thunderstorm,Yes,0.2,9.39,No
2233,A320,8.01,6.58,3.63,Yes,Snow,Yes,8.0,4.94,No
2234,A320,8.75,6.85,0.2,Yes,Snow,No,0.13,8.62,Yes
2235,A320,7.84,0.29,6.77,Yes,Thunderstorm,Yes,5.32,5.3,Yes
2236,B787,8.99,4.68,4.3,Yes,Rain,Yes,5.3,5.26,Yes
2237,B737,8.83,0.74,9.22,Yes,Fog,Yes,1.18,0.38,No
2238,A320,6.23,8.71,9.37,Yes,Clear,Yes,6.95,3.52,Yes
2239,A380,0.8,3.82,7.47,Yes,Rain,Yes,2.3,2.54,No
2240,B737,8.1,7.48,6.41,Yes,Clear,No,6.85,5.97,Yes
2241,A380,4.23,5.15,9.47,Yes,Thunderstorm,Yes,9.52,3.76,No
2242,A380,1.03,2.62,1.09,Yes,Fog,Yes,6.69,9.62,Yes
2243,A320,1.08,3.06,2.08,Yes,Snow,No,7.21,5.59,Yes
2244,A350,4.98,8.25,8.23,Yes,Snow,No,4.84,7.87,Yes
2245,A380,6.15,1.28,0.99,Yes,Fog,No,8.97,8.47,Yes
2246,A320,5.18,4.15,5.89,Yes,Rain,Yes,4.23,4.07,Yes
2247,A320,4.39,8.12,4.4,No,Rain,No,1.57,9.71,Yes
2248,A380,5.31,4.82,7.97,No,Snow,No,3.25,4.72,Yes
2249,B787,3.98,3.8,1.47,No,Clear,No,5.99,2.15,Yes
2250,A380,7.84,7.8,2.23,Yes,Fog,No,2.93,4.08,No
2251,A350,9.55,3.03,3.65,No,Fog,Yes,0.88,0.78,Yes
2252,A320,6.12,0.06,1.01,Yes,Snow,Yes,6.88,1.82,Yes
2253,A320,9.12,9.04,2.09,Yes,Rain,Yes,4.84,2.15,No
2254,B787,9.5,6.16,1.11,No,Clear,No,4.52,2.71,No
2255,B737,1.69,1.9,2.17,Yes,Snow,Yes,5.29,1.27,No
2256,A380,9.16,1.69,0.77,Yes,Clear,Yes,4.85,6.84,Yes
2257,A320,6.59,3.49,6.91,Yes,Thunderstorm,Yes,5.75,1.51,Yes
2258,B737,9.42,4.6,4.56,No,Clear,No,7.6,7.82,Yes
2259,A380,8.86,4.06,6.86,Yes,Rain,No,8.31,5.37,No
2260,A350,1.85,8.91,5.87,Yes,Thunderstorm,No,0.94,5.73,Yes
2261,A350,7.77,1.74,5.0,No,Snow,Yes,1.9,6.22,No
2262,B737,3.56,0.02,0.74,Yes,Clear,No,0.11,2.09,No
2263,A380,5.14,7.14,0.87,Yes,Rain,Yes,7.04,8.37,No
2264,A320,5.51,9.27,0.75,Yes,Clear,No,2.47,2.67,Yes
2265,A380,7.4,6.38,9.7,Yes,Clear,No,1.94,1.91,Yes
2266,A350,7.7,7.27,8.23,Yes,Thunderstorm,No,9.89,4.56,Yes
2267,B737,2.15,0.61,2.73,No,Snow,Yes,6.4,6.64,Yes
2268,B787,5.5,8.16,3.65,Yes,Clear,No,7.5,0.75,Yes
2269,A320,4.32,7.86,7.91,Yes,Fog,Yes,9.07,6.42,Yes
2270,A380,5.82,7.9,6.72,Yes,Thunderstorm,No,8.75,1.3,Yes
2271,A350,0.97,5.87,2.3,Yes,Rain,Yes,2.58,6.07,Yes
2272,B787,6.65,3.66,8.85,Yes,Clear,No,7.57,0.73,Yes
2273,A320,6.59,5.49,0.9,No,Rain,No,3.6,1.12,Yes
2274,B787,4.68,7.59,1.05,Yes,Clear,Yes,0.21,2.92,Yes
2275,A320,6.34,0.02,7.35,No,Clear,No,2.62,8.34,Yes
2276,A350,4.31,3.36,7.88,Yes,Thunderstorm,Yes,1.06,0.74,No
2277,A320,1.59,0.87,0.54,Yes,Fog,No,3.06,4.1,No
2278,A380,0.3,7.74,1.92,No,Rain,No,5.35,8.15,No
2279,A380,4.97,2.05,6.06,No,Fog,Yes,6.58,4.2,No
2280,B737,0.15,0.08,1.13,No,Fog,No,7.94,7.79,Yes
2281,A380,5.44,3.75,3.72,Yes,Rain,Yes,1.77,0.46,No
2282,A350,3.86,4.93,1.48,No,Thunderstorm,Yes,1.01,7.95,No
2283,B787,3.32,6.7,9.62,No,Clear,Yes,6.31,9.91,No
2284,B787,0.39,2.62,0.4,No,Clear,No,0.75,9.24,Yes
2285,A380,5.51,6.04,1.48,No,Fog,No,1.11,6.63,Yes
2286,A380,2.16,3.71,5.13,Yes,Fog,Yes,9.42,0.99,Yes
2287,B737,8.24,2.12,0.07,No,Thunderstorm,No,9.93,6.71,No
2288,A320,6.88,8.78,9.93,No,Fog,No,9.98,7.38,No
2289,A380,0.17,5.6,1.89,Yes,Snow,No,8.46,7.07,No
2290,A380,3.33,0.39,4.96,No,Thunderstorm,Yes,4.52,6.54,Yes
2291,B737,5.17,9.97,9.44,Yes,Fog,Yes,2.55,1.21,No
2292,A380,6.47,0.96,2.75,No,Clear,Yes,7.28,1.78,No
2293,A320,0.25,1.92,6.98,No,Clear,No,6.5,8.3,Yes
2294,A380,4.78,9.51,8.22,No,Clear,Yes,5.2,0.51,No
2295,A350,3.6,3.07,5.35,No,Rain,No,6.24,8.52,No
2296,A350,3.17,1.6,9.95,No,Rain,Yes,5.84,5.18,No
2297,B737,3.69,3.58,0.58,Yes,Thunderstorm,Yes,8.38,3.62,No
2298,B787,1.8,0.73,3.09,Yes,Snow,Yes,6.86,3.01,Yes
2299,B787,0.18,1.01,3.19,Yes,Rain,Yes,6.68,7.11,Yes
2300,B787,8.95,9.25,3.04,Yes,Snow,No,9.66,9.08,No
2301,B737,3.82,6.77,7.84,No,Fog,No,0.18,8.35,Yes
2302,A350,2.66,1.89,9.98,Yes,Clear,Yes,7.02,7.46,No
2303,A320,4.65,2.13,2.2,Yes,Rain,Yes,8.49,7.84,Yes
2304,A350,7.28,8.04,0.15,Yes,Snow,No,6.81,4.29,No
2305,B787,6.06,8.82,6.59,Yes,Rain,Yes,5.07,3.84,Yes
2306,B737,5.01,7.93,0.95,Yes,Rain,Yes,4.1,9.43,Yes
2307,B787,0.45,7.12,5.99,No,Clear,Yes,0.84,4.24,No
2308,A380,4.09,5.65,0.62,No,Fog,Yes,1.27,1.24,No
2309,B787,7.76,6.36,2.44,Yes,Snow,Yes,5.72,8.63,Yes
2310,A350,5.99,5.39,8.54,Yes,Thunderstorm,Yes,4.66,4.73,Yes
2311,A320,7.7,7.99,6.8,No,Rain,Yes,4.89,5.83,Yes
2312,B737,2.43,8.69,1.73,No,Thunderstorm,No,0.21,8.11,No
2313,A350,4.02,1.71,1.51,Yes,Rain,No,4.33,5.2,Yes
2314,B787,2.7,7.49,6.9,No,Clear,Yes,1.39,7.9,Yes
2315,A350,2.29,2.48,6.24,Yes,Clear,No,9.14,8.88,No
2316,B737,8.42,9.26,1.08,Yes,Rain,No,8.03,1.82,Yes
2317,B787,2.35,5.26,1.1,Yes,Snow,Yes,9.82,4.39,Yes
2318,B737,7.1,0.79,8.75,Yes,Clear,No,9.45,6.61,No
2319,B787,0.02,0.19,7.94,Yes,Snow,No,0.57,9.53,Yes
2320,B737,0.27,4.11,3.44,Yes,Rain,No,8.33,7.05,Yes
2321,A380,1.84,1.47,5.23,No,Thunderstorm,Yes,3.12,2.58,Yes
2322,B787,4.11,1.43,4.73,No,Rain,Yes,6.1,4.31,Yes
2323,A320,8.34,6.7,8.97,Yes,Snow,No,1.1,1.46,No
2324,A320,2.54,7.82,9.62,No,Fog,No,3.57,6.2,Yes
2325,A350,5.78,2.7,1.05,Yes,Fog,Yes,4.91,7.49,No
2326,A350,9.13,8.71,0.14,No,Clear,Yes,7.13,6.27,Yes
2327,A320,8.86,7.08,1.29,Yes,Snow,Yes,5.95,5.19,No
2328,A350,6.14,7.26,9.75,No,Rain,Yes,3.03,6.41,No
2329,A350,7.23,5.76,8.7,No,Rain,No,8.87,2.2,Yes
2330,B737,2.37,9.34,3.32,Yes,Clear,No,2.41,5.94,Yes
2331,B737,2.4,2.15,9.43,No,Rain,Yes,0.59,7.89,Yes
2332,A320,5.91,5.05,2.85,Yes,Snow,Yes,9.6,0.86,Yes
2333,B787,9.93,0.75,4.88,Yes,Rain,Yes,8.78,9.25,Yes
2334,A320,2.39,4.71,1.9,No,Fog,Yes,4.58,9.91,Yes
2335,B737,0.36,5.15,3.47,No,Thunderstorm,No,5.34,2.96,Yes
2336,B787,3.53,9.58,9.04,No,Rain,No,3.22,8.84,No
2337,A380,3.03,6.86,7.82,Yes,Clear,No,5.51,7.04,Yes
2338,B787,6.32,7.54,7.86,Yes,Thunderstorm,Yes,2.78,9.58,No
2339,A350,6.29,6.19,5.92,Yes,Fog,Yes,4.98,8.58,Yes
2340,B737,4.27,9.62,2.77,No,Fog,No,2.99,4.98,Yes
2341,B787,5.74,0.3,9.05,Yes,Clear,Yes,0.61,0.64,Yes
2342,A350,0.36,3.64,6.18,Yes,Thunderstorm,No,6.18,5.38,No
2343,A350,2.99,4.72,7.37,Yes,Clear,Yes,1.19,0.06,Yes
2344,A380,7.45,6.82,3.97,Yes,Clear,Yes,3.64,3.37,Yes
2345,B787,4.54,5.28,4.48,No,Rain,Yes,7.47,2.08,Yes
2346,B737,6.46,3.91,9.71,No,Thunderstorm,No,1.93,0.03,No
2347,B737,7.24,0.65,3.64,Yes,Thunderstorm,Yes,8.11,0.52,Yes
2348,A380,8.69,8.52,9.33,No,Snow,Yes,4.78,8.65,No
2349,B787,8.54,7.45,9.49,No,Snow,No,3.25,9.58,Yes
2350,A350,5.6,9.36,0.79,No,Snow,No,4.71,8.11,Yes
2351,B737,5.25,0.63,9.63,Yes,Clear,No,7.12,4.55,Yes
2352,B787,3.17,7.54,7.97,Yes,Rain,Yes,8.77,7.98,No
2353,B737,3.68,1.5,2.5,Yes,Snow,Yes,8.41,5.82,Yes
2354,A380,8.39,7.54,5.65,No,Clear,No,8.06,9.15,No
2355,B787,4.38,4.15,0.58,No,Snow,No,1.25,5.57,No
2356,B737,8.54,8.72,2.16,No,Rain,Yes,6.39,6.17,No
2357,A320,6.46,1.89,4.62,Yes,Thunderstorm,No,5.68,7.86,No
2358,A380,2.97,0.13,8.1,No,Rain,Yes,6.87,5.77,Yes
2359,A320,5.5,7.71,8.95,No,Clear,Yes,0.51,8.92,No
2360,A350,1.1,2.18,7.79,Yes,Fog,No,1.63,4.5,Yes
2361,A380,8.81,6.32,4.78,Yes,Rain,Yes,0.99,5.63,Yes
2362,B787,5.35,6.33,9.26,Yes,Rain,Yes,3.21,7.76,No
2363,A320,7.74,3.38,3.29,No,Rain,No,8.57,8.64,Yes
2364,A320,3.42,0.69,4.29,No,Thunderstorm,No,1.77,7.76,No
2365,B737,9.19,7.05,2.89,Yes,Fog,No,1.9,4.59,Yes
2366,A380,3.36,2.38,5.75,Yes,Clear,No,9.22,0.57,No
2367,A380,0.52,3.14,0.17,No,Rain,No,8.18,0.79,No
2368,B737,7.73,8.95,8.09,Yes,Rain,Yes,3.07,6.03,No
2369,B737,4.36,0.87,0.01,No,Fog,No,0.14,2.73,No
2370,A350,5.76,3.46,5.58,Yes,Thunderstorm,No,7.47,3.04,No
2371,A380,7.59,3.17,3.79,No,Fog,No,0.87,4.38,Yes
2372,A380,5.73,3.59,4.24,No,Clear,No,1.18,9.3,No
2373,A380,7.91,6.12,2.34,No,Rain,No,4.05,3.54,No
2374,B737,6.42,8.29,8.71,Yes,Clear,No,7.33,6.37,Yes
2375,B787,3.71,4.57,8.79,No,Thunderstorm,No,0.02,0.23,Yes
2376,A320,0.14,8.96,2.39,No,Snow,Yes,3.4,5.15,Yes
2377,A350,4.93,1.26,4.1,Yes,Clear,Yes,1.82,8.92,No
2378,B787,5.05,7.78,7.29,No,Snow,No,8.43,8.73,No
2379,A320,8.85,8.38,5.11,No,Fog,No,3.03,5.39,Yes
2380,B787,2.37,9.68,5.32,Yes,Snow,No,1.71,7.58,Yes
2381,B787,8.54,6.24,5.41,Yes,Clear,No,8.26,6.75,No
2382,A380,4.14,6.78,4.17,No,Thunderstorm,No,3.38,7.69,Yes
2383,B737,8.16,0.91,9.73,No,Clear,Yes,4.97,0.08,No
2384,A350,1.02,1.48,7.78,Yes,Thunderstorm,Yes,8.27,5.48,Yes
2385,A380,4.51,8.95,5.05,Yes,Snow,Yes,8.77,0.79,No
2386,B787,9.56,8.06,6.07,No,Thunderstorm,Yes,9.33,8.69,No
2387,A350,1.98,9.55,8.09,No,Rain,Yes,3.71,0.88,Yes
2388,B737,2.48,6.48,7.99,Yes,Clear,No,2.47,6.82,Yes
2389,A320,7.83,6.04,0.48,Yes,Rain,No,9.2,8.27,No
2390,B787,1.47,0.35,8.49,Yes,Clear,Yes,8.45,4.21,Yes
2391,B787,8.99,5.4,9.57,Yes,Fog,Yes,8.35,9.53,Yes
2392,B787,8.7,7.27,3.5,No,Snow,Yes,3.64,0.09,Yes
2393,A320,4.06,2.5,2.13,Yes,Clear,No,1.16,5.54,Yes
2394,A380,3.84,3.24,5.46,No,Fog,No,2.58,3.92,No
2395,A320,1.11,8.55,5.04,Yes,Rain,Yes,9.13,8.44,Yes
2396,A350,9.78,8.76,5.48,No,Clear,No,2.56,8.22,Yes
2397,A380,4.44,0.41,1.83,Yes,Rain,No,7.77,4.59,No
2398,A350,7.7,6.47,6.28,No,Rain,Yes,5.37,7.25,Yes
2399,B787,5.74,0.41,2.94,Yes,Snow,No,8.04,0.82,Yes
2400,B787,7.76,3.1,3.94,Yes,Rain,No,4.78,9.95,No
2401,A380,4.64,8.92,3.62,No,Snow,Yes,7.71,4.89,No
2402,B737,2.73,3.64,6.73,No,Clear,No,5.45,8.37,Yes
2403,A350,9.49,5.78,0.94,No,Clear,No,1.41,5.4,No
2404,B787,5.56,2.07,5.6,No,Snow,No,1.87,1.93,Yes
2405,B787,7.18,1.13,0.19,No,Clear,No,7.13,6.37,No
2406,B737,3.09,6.8,5.43,No,Clear,No,4.07,5.28,Yes
2407,B787,3.78,3.86,7.65,No,Fog,Yes,6.17,3.94,Yes
2408,A320,4.31,4.37,2.15,Yes,Rain,No,5.36,9.66,Yes
2409,B737,0.96,1.0,7.69,No,Snow,No,2.13,9.45,Yes
2410,A380,4.72,6.39,1.36,Yes,Snow,No,0.9,1.12,Yes
2411,A350,2.34,6.05,4.39,Yes,Thunderstorm,No,5.22,6.38,Yes
2412,A350,0.83,2.74,0.75,No,Thunderstorm,Yes,7.45,5.12,Yes
2413,B737,3.21,3.87,3.54,Yes,Snow,Yes,0.63,2.61,Yes
2414,A350,3.53,0.36,5.21,No,Rain,No,4.73,5.45,Yes
2415,B787,9.51,2.74,4.01,Yes,Clear,No,7.38,3.7,No
2416,A380,3.8,4.6,5.97,No,Thunderstorm,No,2.58,3.15,Yes
2417,B787,9.48,6.79,9.87,No,Fog,Yes,1.12,5.76,No
2418,A350,8.08,5.45,4.68,No,Thunderstorm,Yes,7.07,8.56,Yes
2419,B737,6.71,5.92,2.08,Yes,Fog,Yes,4.15,0.21,Yes
2420,A350,3.2,8.14,1.41,No,Rain,Yes,7.46,7.47,Yes
2421,A320,9.47,3.56,4.49,Yes,Clear,No,3.92,4.58,Yes
2422,A350,3.03,4.46,2.21,Yes,Fog,No,8.14,3.57,No
2423,A320,4.35,6.28,4.88,Yes,Thunderstorm,No,2.39,6.99,No
2424,A350,3.12,3.13,5.16,Yes,Thunderstorm,No,9.43,3.99,No
2425,A350,2.94,6.34,0.7,No,Fog,Yes,0.39,4.21,No
2426,B737,3.37,9.5,1.3,Yes,Thunderstorm,No,7.35,2.08,Yes
2427,A320,8.33,8.35,9.26,Yes,Thunderstorm,No,3.92,5.67,No
2428,B787,9.0,2.64,7.66,Yes,Rain,No,1.95,8.33,Yes
2429,A320,1.73,0.41,4.21,No,Snow,Yes,4.36,0.36,Yes
2430,A380,3.71,4.4,4.01,No,Thunderstorm,No,5.65,5.02,No
2431,B787,4.48,1.32,2.39,Yes,Rain,Yes,6.73,2.0,Yes
