Aircraft_ID,Aircraft_Age,Total_Flight_Hours,Total_Cycles,Days_Since_Last_Maintenance,Last_Maintenance_Type,Unresolved_Issues,Total_Logged_Issues,Pressurization_Cycles,Wear_Tear_Score,Environmental_Exposure,Maintenance_Priority,Engine_Type,Structural_Integrity_Score,Operational_Region,Maintenance_Cost_Per_Hour,Overall_Aircraft_Usage,Aircraft_Rating
AC-0176,14,25956.204458893924,15082,125,Component Replacement,2,35,3000,0.971933221520024,3,Low,Turboprop,0.5092282095215113,South America,1311,2.56,1.0
AC-0177,3,16151.840580820151,14930,273,Inspection,4,20,5066,0.5357918254128775,2,Medium,Piston,0.7728042322135753,Europe,1000,1.93,1.0
AC-0178,1,27869.41261224298,11077,107,Major Overhaul,8,16,9679,0.15724129274001764,1,Low,Turbofan,0.8533952521984072,Oceania,1227,3.55,3.68
AC-0179,5,26651.94380120577,7397,299,Component Replacement,5,32,7381,0.5965191710258155,1,Low,Turboprop,0.895203737941494,Europe,1224,4.72,1.0
AC-0180,26,30689.366744696417,3757,245,Major Overhaul,8,9,4136,0.8569865535544913,2,Medium,Turbofan,0.5968694665124052,Europe,2347,9.12,1.0
AC-0181,23,16251.932862552983,19284,247,Inspection,5,46,6530,0.9971643558532959,4,Medium,Turboprop,0.6308764345185118,South America,1761,2.03,1.0
AC-0182,14,20996.271268324468,19994,8,Major Overhaul,1,41,723,0.4873088563201653,5,Low,Turbofan,0.7562954626336482,Africa,1286,2.02,3.35
AC-0183,7,30093.781163361058,18833,141,Inspection,4,11,6797,0.3882688682470683,4,Low,Turbofan,0.6653004049850009,North America,1032,2.46,2.36
AC-0184,27,37473.27055231725,6017,8,Routine Check,10,15,850,0.915987967256799,1,Medium,Piston,0.9302557432937225,Oceania,2446,7.21,2.15
AC-0185,9,34659.2200795959,17370,94,Major Overhaul,8,40,7814,0.2721179161685092,5,Medium,Turbofan,0.7368800768693602,Africa,1730,3.07,3.02
AC-0186,15,25820.548711527976,8999,39,Major Overhaul,7,31,2428,0.653886023529634,3,Low,Turboprop,0.8997893220510015,Asia,1414,4.0,2.94
AC-0187,15,20126.049760788523,11195,81,Routine Check,6,14,8243,0.46514298176285296,5,Medium,Turbofan,0.7903098802411769,Oceania,2064,2.78,2.41
AC-0188,26,29038.205586793054,3096,187,Major Overhaul,0,26,9040,0.13697412845999976,4,Medium,Turbofan,0.886545070808556,North America,1889,10.42,3.65
AC-0189,10,14086.095627065295,16433,84,Routine Check,3,27,5232,0.41255962687512804,2,Medium,Turbofan,0.6663364932651619,Asia,1999,1.76,2.38
AC-0190,28,16829.98560739106,11595,88,Component Replacement,6,16,1517,0.33870567025240716,3,Medium,Turbofan,0.9157083109651556,South America,2354,2.51,3.08
AC-0191,13,40097.71312459624,16941,242,Inspection,10,45,2726,0.7174820385491382,4,Low,Turboprop,0.6372861577755108,Africa,1387,3.56,1.0
AC-0192,19,29020.34480046922,16078,93,Routine Check,6,49,7706,0.9539114479227263,3,Medium,Turbofan,0.7730494040016453,Oceania,2448,2.62,1.36
AC-0193,7,21524.73266227045,6105,86,Major Overhaul,5,1,7670,0.341242468640774,5,Medium,Turboprop,0.6070035565869372,Europe,1383,4.68,2.23
AC-0194,17,33291.386845852685,3839,44,Routine Check,7,35,6707,0.8303193452365135,1,Low,Turboprop,0.7377632608130966,North America,2028,9.7,1.6
AC-0195,20,37869.74963849594,4384,137,Major Overhaul,10,49,2919,0.14982383524456858,4,Low,Turboprop,0.6590876047543516,Oceania,2226,9.54,2.05
AC-0196,29,20553.624417543597,11851,74,Component Replacement,5,6,6740,0.5843089090358319,2,Low,Turbofan,0.6333517153186071,Europe,2007,2.92,2.37
AC-0197,4,20725.920575505246,11053,36,Routine Check,9,12,2393,0.16349505733890513,5,Medium,Piston,0.9834925090140187,Oceania,1241,2.87,4.04
AC-0198,30,19473.542266529945,14493,101,Component Replacement,2,14,5822,0.9406296920175754,4,Low,Turbofan,0.5800370527433654,Asia,2913,2.28,1.0
AC-0199,5,34638.50318715362,18069,156,Inspection,3,24,8218,0.7897161525016512,2,Medium,Turbofan,0.8936629187286976,Europe,1367,2.79,1.81
AC-0200,23,34735.57447520124,15139,255,Major Overhaul,2,22,7378,0.6921549200841332,4,High,Turbofan,0.9920824797416075,Europe,2051,3.19,1.09
AC-0201,7,38859.03321291099,8531,171,Major Overhaul,0,21,1625,0.8415067434621979,5,Medium,Turbofan,0.5099507418700389,Oceania,1691,5.69,1.0
AC-0202,13,35086.02949848836,5283,216,Component Replacement,9,25,3617,0.6827678160131468,4,High,Turbofan,0.8495137070210474,South America,1828,7.69,1.0
AC-0203,15,8677.819205714812,8736,170,Inspection,4,32,4661,0.9720499574568621,3,High,Turboprop,0.6264559027781436,South America,2111,2.16,1.0
AC-0204,11,27809.64320918199,8710,252,Routine Check,0,10,4542,0.7425621530782943,5,Low,Turbofan,0.5202439121641522,Africa,1715,4.09,1.0
AC-0205,29,14416.145971529479,2619,55,Routine Check,0,9,4933,0.9321927486240221,4,Medium,Turbofan,0.7014447894783153,Asia,2788,6.35,1.48
AC-0206,4,19870.856250285848,14975,91,Major Overhaul,1,24,9138,0.5654187028095743,1,Low,Turboprop,0.9676089050854375,South America,1218,2.13,3.58
AC-0207,13,26705.94203580863,13835,278,Component Replacement,3,36,3158,0.2053579716836764,4,High,Turbofan,0.5058825471834989,Oceania,1346,2.93,1.0
AC-0208,7,33355.65398349904,16261,101,Component Replacement,5,47,3983,0.5753599492807154,3,Low,Turbofan,0.7939428459648908,South America,1682,3.25,2.22
AC-0209,27,16091.566575489223,2431,155,Routine Check,7,42,3444,0.21418554525678396,2,High,Turbofan,0.7506982392976622,Africa,1895,7.7,2.69
AC-0210,19,5000.0,10067,141,Inspection,2,37,7710,0.6332441312587646,2,Medium,Turboprop,0.9366920821855238,North America,1979,1.42,1.99
AC-0211,22,26805.308418054316,5713,173,Inspection,0,40,8153,0.5342437544748967,2,Medium,Turbofan,0.5420008572603128,Africa,1996,5.84,1.58
AC-0212,28,50000.0,10557,10,Routine Check,2,44,9287,0.6603178580495035,1,Low,Turbofan,0.8407630149433252,Europe,2564,5.85,3.34
AC-0213,2,22971.537803298474,10435,228,Routine Check,2,23,2486,0.10904228294934844,3,Low,Turbofan,0.8400548492166386,Europe,1599,3.01,3.11
AC-0214,10,25469.154349502587,5998,265,Component Replacement,4,39,1574,0.2753564424898277,5,Medium,Turboprop,0.8345400084311416,South America,1775,5.37,1.3
AC-0215,13,42821.63618536079,1162,248,Inspection,10,45,4805,0.5421973887209178,2,Low,Turboprop,0.9711672474675185,South America,1223,37.77,1.0
AC-0216,30,30902.74619061788,2974,247,Routine Check,3,32,3507,0.9554532054302214,3,High,Turboprop,0.9115437645034402,Africa,2415,11.25,1.0
AC-0217,25,27168.61036982938,9461,155,Routine Check,3,16,1469,0.44524813631964255,4,Low,Turbofan,0.5209863631217531,Africa,2406,3.76,1.0
AC-0218,21,29421.16665313473,18015,34,Major Overhaul,8,23,9272,0.4819348234482712,1,Medium,Turbofan,0.7355414253522565,Oceania,2163,2.62,2.23
AC-0219,6,27502.439325736486,18289,129,Routine Check,6,36,3324,0.7432264801059599,3,Low,Turbofan,0.6989765281006668,Asia,1134,2.47,1.47
AC-0220,28,13602.45571843294,3014,160,Routine Check,3,1,1711,0.6434134815575062,3,Medium,Turbofan,0.655073610545401,Oceania,2746,5.43,1.0
AC-0221,28,11585.548422003025,10833,89,Inspection,2,31,729,0.3690335350884999,5,Medium,Turbofan,0.7256683625770486,Europe,2532,1.94,3.46
AC-0222,12,43868.28112124237,8896,93,Component Replacement,5,23,4784,0.46973475601068504,3,Low,Turbofan,0.6920970924629888,Oceania,1787,6.04,1.92
AC-0223,12,26838.833519051575,1204,241,Inspection,2,8,3685,0.2959298189715092,5,Low,Turbofan,0.7161669499393326,Africa,1674,23.49,1.51
AC-0224,20,26000.954425796983,17965,117,Component Replacement,5,3,1001,0.9694193132171877,1,Low,Turboprop,0.9896309328043212,Oceania,1795,2.56,1.64
AC-0225,30,24097.723359437903,10032,94,Major Overhaul,10,16,548,0.21757094340162375,1,Medium,Turbofan,0.5443164873747903,North America,2083,3.32,2.2
AC-0226,30,32810.73267616452,6347,163,Routine Check,10,16,4066,0.4346531061097775,4,Medium,Turboprop,0.9611154349193649,Asia,2014,6.07,2.03
AC-0227,11,50000.0,3643,99,Major Overhaul,8,49,3555,0.12325507499801008,5,Medium,Turbofan,0.7401183567355134,Africa,1916,14.61,3.09
AC-0228,26,30239.52667107794,9017,113,Component Replacement,5,47,9380,0.2996015427401918,5,Medium,Turbofan,0.8118711227497706,South America,1933,4.21,3.25
AC-0229,23,19119.131736854473,19681,91,Inspection,3,29,886,0.8024240245421395,2,Low,Turbofan,0.9150914833088469,Oceania,2127,1.99,1.86
AC-0230,28,23665.99142108456,18258,206,Inspection,4,39,1469,0.2810577090599915,2,Low,Turbofan,0.6802315145746278,Africa,2532,2.34,1.68
AC-0231,25,35709.96467205255,6560,17,Major Overhaul,5,10,9697,0.17205706227606904,4,Low,Turbofan,0.7152109540439835,South America,2068,6.53,3.61
AC-0232,7,19171.993985870024,16892,274,Component Replacement,10,20,6320,0.527007861860071,1,Low,Turbofan,0.704759240139357,South America,1241,2.21,1.0
AC-0233,30,33522.46489030268,15531,173,Major Overhaul,2,20,3552,0.10897231126106666,2,High,Piston,0.6873655112678799,Europe,2478,3.08,2.56
AC-0234,1,5000.0,18073,116,Major Overhaul,7,17,7897,0.17628953898369987,3,High,Turboprop,0.9627646608234475,Europe,1189,1.21,3.33
AC-0235,1,22701.204285536132,5000,181,Routine Check,3,28,2802,0.8268632826066776,1,Low,Turbofan,0.914464945596506,Africa,1000,5.61,1.12
AC-0236,25,31281.400134806696,15289,91,Major Overhaul,7,23,2783,0.7943260103736457,3,Medium,Turboprop,0.554499994931488,Africa,2116,2.99,1.0
AC-0237,27,37701.25546575715,18055,82,Routine Check,9,9,4866,0.9236249383644064,5,High,Turboprop,0.554061676238548,North America,2137,2.97,1.0
AC-0238,30,16815.257829576087,8927,114,Routine Check,9,44,622,0.8690638923196745,1,Low,Turboprop,0.7139347574264956,Asia,2812,2.83,1.0
AC-0239,25,9972.349823693965,16562,257,Inspection,2,16,7299,0.7148580069158362,4,Low,Turboprop,0.5493286883664046,Asia,2127,1.51,1.0
AC-0240,20,22392.64835108181,2171,58,Routine Check,9,17,9972,0.14709957157059655,5,Low,Turbofan,0.8095465476355599,Africa,2191,11.15,3.87
AC-0241,13,13745.80992253111,12918,154,Routine Check,6,41,4227,0.8045637561879917,5,Medium,Turbofan,0.5718458036308669,Europe,1612,2.2,1.0
AC-0242,9,23509.6333327047,10135,116,Inspection,10,47,8950,0.8609597297565044,3,High,Turbofan,0.7611866319834005,Oceania,1543,3.46,1.0
AC-0243,3,24933.465453687626,7342,266,Major Overhaul,8,19,9639,0.819173931194759,5,Medium,Turbofan,0.5036099735018589,North America,1000,4.28,1.0
AC-0244,7,11808.549547980552,18833,203,Component Replacement,3,36,5458,0.5576311317772235,2,Low,Turbofan,0.6582981742063234,Asia,1385,1.45,1.0
AC-0245,6,33044.39110110865,12929,41,Component Replacement,7,44,1024,0.3096116547845335,1,Low,Turbofan,0.8385953618363278,Africa,1000,3.65,3.76
AC-0246,8,23427.86106635549,3539,105,Component Replacement,2,17,9579,0.860796978119854,2,Medium,Piston,0.7420194701139242,Europe,1169,7.5,1.89
AC-0247,27,35804.5986900535,4959,193,Major Overhaul,6,16,8899,0.7544465287661246,3,High,Piston,0.9891347429994941,Europe,2837,8.18,1.21
AC-0248,9,6550.947597039063,14183,278,Routine Check,2,8,648,0.9826850569499664,3,Medium,Turboprop,0.9370518980331054,Europe,1920,1.29,1.0
AC-0249,30,14828.078294546094,6432,237,Component Replacement,6,13,8501,0.24012333798033964,1,Medium,Turboprop,0.6795353895215757,Oceania,2069,3.2,1.09
AC-0250,5,30166.693086481228,19745,221,Major Overhaul,10,48,937,0.30309812474684955,5,Low,Piston,0.5227432707361372,South America,1067,2.64,1.0
AC-0251,1,17008.894291747347,2753,68,Routine Check,9,28,4249,0.2906183348933524,4,High,Turbofan,0.9228131500575094,Oceania,1000,7.3,3.67
AC-0252,19,23354.643419503038,19322,197,Inspection,9,30,8686,0.813285790859203,3,Medium,Turbofan,0.9556171551573357,Europe,1538,2.09,1.0
AC-0253,10,25006.991175571748,11123,256,Component Replacement,10,3,4953,0.26821656680510636,1,Low,Turbofan,0.9103136967095184,Africa,1700,3.18,1.13
AC-0254,12,26582.559809533675,17376,139,Routine Check,10,17,5836,0.1599938468409755,4,Medium,Turboprop,0.5639749704598824,North America,1356,2.38,1.77
AC-0255,24,18224.33787266293,7588,149,Component Replacement,5,19,5051,0.9987047259270657,5,Low,Turbofan,0.9989575672061439,Oceania,1916,3.23,1.22
AC-0256,15,26492.865634724778,7304,99,Component Replacement,1,46,3323,0.12233549030063423,3,Low,Turboprop,0.6292921107763869,Africa,1699,4.82,3.31
AC-0257,27,17174.5629476552,8345,76,Component Replacement,10,42,6228,0.8517196541429791,1,Low,Turbofan,0.862102456404185,Europe,2743,3.12,1.7
AC-0258,22,31742.804687467753,16352,282,Routine Check,2,43,9177,0.4288301573955875,1,Low,Turbofan,0.9540174381678608,North America,2143,2.96,1.15
AC-0259,24,23851.559805169767,1597,109,Major Overhaul,5,8,8891,0.8574539137820337,1,Low,Turboprop,0.6178435571653547,Asia,1840,16.04,1.0
AC-0260,9,26550.366235955185,3336,188,Routine Check,3,12,2482,0.5991584420900306,3,Low,Turbofan,0.954129277338533,Asia,1110,9.09,2.09
AC-0261,20,50000.0,10879,199,Component Replacement,5,14,7496,0.911468106537724,4,Medium,Turbofan,0.6547407895974335,Africa,1531,5.72,1.0
AC-0262,17,13928.955453999784,1572,154,Routine Check,0,26,2811,0.933573687773164,1,Low,Turbofan,0.988206611192028,North America,2173,9.67,1.78
AC-0263,30,38885.82269040288,8521,40,Inspection,9,14,7725,0.1081883631526984,5,Low,Turbofan,0.6406300101902374,Africa,2151,5.44,2.96
AC-0264,17,5000.0,7171,133,Major Overhaul,0,27,1104,0.16787095839350946,1,Low,Turboprop,0.9767179123789176,North America,2208,1.76,3.65
AC-0265,26,5000.0,19474,132,Routine Check,2,36,8675,0.3253228566137699,4,Medium,Turbofan,0.5267723254463375,North America,2059,1.21,1.71
AC-0266,20,12593.599223124293,14992,279,Inspection,7,18,6285,0.7023838747271515,3,Low,Turbofan,0.8546360058349065,Africa,2227,2.03,1.0
AC-0267,12,13224.716347250636,12861,84,Major Overhaul,7,25,5097,0.8994449768603554,1,Low,Turbofan,0.7660555669185019,North America,1378,2.09,1.11
AC-0268,30,27037.017981388497,13464,242,Inspection,10,25,8259,0.5139477561645664,1,High,Turboprop,0.7389385385613654,Oceania,2284,3.19,1.0
AC-0269,7,27898.42264168468,2633,116,Major Overhaul,3,24,8032,0.6462758046468389,5,Medium,Turbofan,0.61174715712792,Europe,1459,11.48,1.27
AC-0270,2,22451.787316276354,18901,109,Routine Check,5,25,9240,0.26964986751600506,5,High,Turboprop,0.852797894888246,North America,1516,2.33,3.25
AC-0271,3,23501.220332375382,13485,221,Inspection,7,25,1338,0.8244701504935168,1,Low,Turboprop,0.5954047457231535,Oceania,1191,2.67,1.0
AC-0272,17,30277.64760931661,11849,41,Component Replacement,6,45,4315,0.9705953002181228,1,Low,Turbofan,0.7764208979923841,North America,1951,3.75,1.85
AC-0273,5,33332.23877620742,4648,147,Inspection,10,27,1347,0.34173903962313773,5,Medium,Turboprop,0.6266226815201255,Oceania,1000,8.03,1.63
AC-0274,17,11734.60983890241,16177,112,Major Overhaul,6,48,5209,0.5453433564404917,4,Low,Turboprop,0.977810689890678,Africa,2005,1.73,2.81
AC-0275,24,21381.090287669962,14140,103,Routine Check,3,17,5007,0.17750449945573643,2,Low,Turbofan,0.5143155969178264,Asia,1766,2.63,2.23
AC-0276,17,24304.101770869896,18921,46,Major Overhaul,8,31,7075,0.6032229908166715,2,Low,Turbofan,0.5998641400556183,South America,2294,2.26,1.78
AC-0277,27,29853.159965604533,15357,271,Inspection,9,2,5273,0.5525050976620125,1,High,Piston,0.6211553031937238,North America,2718,2.93,1.0
AC-0278,17,17273.32857726529,14368,195,Inspection,5,1,4968,0.22999283573956986,5,Low,Turboprop,0.7070339128839083,South America,1919,2.4,2.41
AC-0279,2,24107.788244063297,4137,280,Component Replacement,10,32,5692,0.4978595918062676,3,High,Turbofan,0.6163651209350267,North America,1599,6.8,1.0
AC-0280,2,25299.83634527158,1097,283,Routine Check,2,41,3820,0.4006941868779069,3,High,Turbofan,0.7456745451343927,Africa,1539,24.1,1.0
AC-0281,28,17955.2989654047,12407,40,Routine Check,4,18,5198,0.5696477877746704,2,Low,Turboprop,0.9362327616292695,Africa,2692,2.27,3.21
AC-0282,22,17716.84850052114,13722,189,Inspection,4,16,4811,0.6270889018859193,4,Medium,Turboprop,0.8560317107045854,Oceania,1878,2.43,1.14
AC-0283,23,25987.457776373347,13924,164,Routine Check,4,43,4173,0.10764602074648856,2,Medium,Turboprop,0.7899809902675555,North America,2397,2.93,2.64
AC-0284,5,23696.54854012792,4750,24,Component Replacement,7,32,2064,0.7849053846545998,1,High,Turbofan,0.5445015889913398,Africa,1192,5.95,1.7
AC-0285,1,30004.775194206322,9535,24,Major Overhaul,8,11,2340,0.7417128626755667,4,Low,Turboprop,0.8469960541946377,Africa,1446,3.95,2.33
AC-0286,1,14467.412793550038,5666,4,Routine Check,8,48,6558,0.42965774758587005,3,Medium,Turbofan,0.5832071421554699,North America,1414,3.59,2.98
AC-0287,19,21493.18472121213,17009,290,Inspection,5,2,7631,0.14764234201193643,5,Low,Turbofan,0.893183692980849,Oceania,1848,2.07,2.17
AC-0288,30,22707.83948446408,17994,181,Major Overhaul,5,42,1226,0.7794392858065453,5,High,Turboprop,0.6250283792550766,Oceania,2127,2.06,1.0
AC-0289,2,33138.639081236055,2727,248,Major Overhaul,8,48,9936,0.9596576444303192,1,Low,Piston,0.7085243641604504,Oceania,1000,13.2,1.0
AC-0290,21,15595.862254320977,2854,116,Component Replacement,3,25,7197,0.3161364364198128,2,Low,Turbofan,0.6752351011589639,Oceania,2031,6.34,2.2
AC-0291,12,27346.520051550862,11800,279,Inspection,5,34,9757,0.39117215236333414,1,Medium,Turbofan,0.9294069573374284,Asia,1820,3.19,1.74
AC-0292,26,27527.555075378867,6055,69,Routine Check,3,7,782,0.26543160053363346,5,High,Turboprop,0.5632722293567041,North America,2747,5.61,2.81
AC-0293,6,41463.97242679974,11271,254,Inspection,10,35,1581,0.6192425110103557,3,Medium,Turbofan,0.7828224411923943,Asia,1000,4.5,1.0
AC-0294,23,14929.10635693739,19708,181,Major Overhaul,0,6,4385,0.23935725518270945,5,Low,Turboprop,0.5710308047215311,Africa,1818,1.68,1.99
AC-0295,4,18427.666818825062,13819,169,Inspection,6,45,3381,0.4205745491152415,4,Low,Turboprop,0.8523979180660933,Asia,1383,2.19,1.97
AC-0296,23,15626.44317776679,10369,249,Routine Check,9,45,3470,0.7273117125408367,5,High,Turbofan,0.9525390638972406,Oceania,1909,2.54,1.0
AC-0297,11,8302.208279316,10283,188,Routine Check,10,35,9844,0.6041043847084135,5,Medium,Piston,0.7173038269336267,Africa,1766,1.87,1.0
AC-0298,24,42646.869342627186,14171,54,Component Replacement,5,15,7485,0.4478163078951417,4,High,Turboprop,0.7440461301324879,Asia,2663,4.1,3.15
AC-0299,27,12584.987690508775,6774,138,Routine Check,8,23,1447,0.4782246416267877,2,Low,Turboprop,0.9637114182413811,Asia,2496,2.76,2.61
AC-0300,17,16836.945909451544,7519,168,Routine Check,6,0,5260,0.6058997943609066,5,Low,Turboprop,0.7604956943246786,North America,1907,3.07,1.0
AC-0301,6,38157.66508282159,11983,103,Inspection,6,48,566,0.10527825509844518,1,Medium,Turboprop,0.7437992190247804,Asia,1306,4.02,3.25
AC-0302,24,7468.9295306178465,19133,85,Inspection,1,24,9328,0.17065888160824888,5,High,Turbofan,0.7891645513521521,Africa,2220,1.36,4.28
AC-0303,5,32563.515692873814,15939,212,Major Overhaul,10,9,9005,0.8931322609867105,1,Low,Turbofan,0.844614868181476,Oceania,1220,3.22,1.0
AC-0304,20,10869.756546582226,1781,3,Component Replacement,8,15,1064,0.17009109018216167,4,High,Turboprop,0.5534416875435157,North America,1660,6.99,3.71
AC-0305,2,37466.94736529587,17282,179,Inspection,9,15,9517,0.7361232365894547,5,Medium,Turbofan,0.910555263870758,Asia,1000,3.07,1.0
AC-0306,6,5000.0,7823,38,Routine Check,8,7,4170,0.9280343476981473,4,Low,Turbofan,0.7177525137266296,North America,1139,1.48,1.37
AC-0307,22,7465.305837493372,19489,239,Major Overhaul,5,28,9717,0.343615243871558,4,Low,Turboprop,0.5361742549487427,South America,2499,1.43,1.0
AC-0308,11,19550.777650410913,8193,169,Inspection,2,38,2751,0.4334422933535629,2,Low,Turboprop,0.8930913345991065,North America,1882,3.46,2.54
AC-0309,16,34718.22690172736,3113,30,Component Replacement,0,27,1304,0.6120292652602447,5,Medium,Turbofan,0.688474985843136,Oceania,1801,12.21,3.29
AC-0310,16,24690.417493634268,17280,190,Component Replacement,3,5,5131,0.8935380726747262,1,Low,Turboprop,0.550183747547527,South America,1405,2.57,1.0
AC-0311,1,21642.84927113429,14565,25,Major Overhaul,2,15,1735,0.9477150285343782,1,Low,Turboprop,0.8168895197716253,South America,1351,2.48,2.0
AC-0312,9,38460.44207464717,11183,112,Major Overhaul,0,19,7220,0.7656069233001412,5,High,Turbofan,0.9400656767168208,North America,1424,4.29,2.44
AC-0313,28,46552.39538433073,18961,206,Major Overhaul,2,15,7406,0.17795778476922464,2,Low,Turboprop,0.9438767547069932,Africa,2752,3.37,3.35
AC-0314,27,31722.57284413772,10203,185,Major Overhaul,3,6,6516,0.7022387399813658,2,Low,Turbofan,0.9788317374044866,Oceania,2449,4.17,1.4
AC-0315,6,18771.454968987164,19658,47,Major Overhaul,7,40,4049,0.4692733496853959,2,Low,Turbofan,0.933852729883344,Africa,1262,2.0,3.53
AC-0316,16,20818.56965990728,16795,228,Routine Check,8,13,8438,0.5236308995419554,1,Medium,Turbofan,0.5010704596727376,Oceania,1782,2.25,1.0
AC-0317,29,12115.526202426752,19810,39,Routine Check,2,42,4641,0.14423355131065935,4,Medium,Turbofan,0.6901205832066951,Oceania,2653,1.68,3.74
AC-0318,3,26008.17422254052,14489,16,Inspection,5,25,7466,0.27195592541172237,2,Low,Turbofan,0.9092712899527515,Africa,1000,2.85,4.51
AC-0319,20,8704.070140236729,6546,22,Component Replacement,9,25,5835,0.811462246780283,1,Medium,Turboprop,0.683126502999237,Europe,2322,2.48,1.09
AC-0320,28,30518.636553095006,7852,213,Routine Check,10,13,5577,0.5085629497430738,1,Medium,Turboprop,0.8007742531898531,South America,2548,4.92,1.0
AC-0321,27,45055.74045639954,3551,149,Routine Check,4,6,6111,0.37149601746803396,4,Low,Turbofan,0.803158473687266,North America,2634,13.8,1.97
AC-0322,4,32175.9157979305,7411,241,Routine Check,5,32,8589,0.4456171665684624,5,Low,Turboprop,0.6825126520194116,Africa,1000,5.24,1.0
AC-0323,19,20308.522798050653,17391,272,Inspection,3,25,3392,0.8689595619931122,5,Low,Turbofan,0.9522369636406438,Africa,1637,2.24,1.0
AC-0324,26,30269.374126317904,19939,59,Major Overhaul,9,44,6077,0.7740991156644612,2,Low,Turbofan,0.7516141726930587,North America,2452,2.68,1.5
AC-0325,3,41205.33445165877,1475,287,Inspection,5,19,4118,0.34508385746297454,2,Medium,Turboprop,0.7323921029687503,South America,1000,28.89,1.0
AC-0326,19,40704.94635261139,11403,202,Component Replacement,6,2,2059,0.205751656191136,4,Medium,Turbofan,0.9987568728309479,North America,1901,4.68,2.69
AC-0327,20,14962.421084366293,8239,32,Component Replacement,8,3,7183,0.32679839947966455,2,Low,Turbofan,0.7467501820363083,Oceania,2015,2.91,2.87
AC-0328,7,30102.96389582323,7710,162,Component Replacement,9,25,2007,0.9286808059492603,4,Low,Turboprop,0.5891991259642906,Europe,1340,4.73,1.0
AC-0329,20,23418.985099298014,9078,255,Component Replacement,6,10,2563,0.6234299540647799,1,Low,Turbofan,0.756534711431719,Oceania,1975,3.61,1.0
AC-0330,9,33065.93247913687,3285,254,Routine Check,5,1,4142,0.5801321878703046,2,Medium,Turboprop,0.907008367759965,Europe,1212,10.92,1.29
AC-0331,1,28836.139538167707,6223,9,Routine Check,0,13,2500,0.6367542397232153,1,Low,Turbofan,0.8884301634491407,North America,1087,5.82,3.31
AC-0332,8,5000.0,14521,139,Inspection,1,43,1794,0.4294254391718637,3,Medium,Turbofan,0.8942908825542355,Oceania,1358,1.47,2.43
AC-0333,7,21519.869137031612,15889,10,Major Overhaul,0,29,4565,0.8263963182875614,4,Low,Turbofan,0.8540118919989559,South America,1385,2.2,3.42
AC-0334,18,26985.58362896292,7971,214,Component Replacement,8,48,8514,0.5709576243702248,3,Medium,Turbofan,0.6271089145333442,Oceania,2177,4.23,1.0
AC-0335,8,10656.350328411543,12531,273,Inspection,9,11,2103,0.205073112491916,2,High,Turbofan,0.9310420429201157,Africa,1640,1.89,1.59
AC-0336,1,30810.220098659855,15721,48,Routine Check,9,25,1822,0.2161586123461567,1,Low,Turbofan,0.9467217326881325,Europe,1330,2.9,4.09
AC-0337,11,9759.847582729697,5943,111,Routine Check,8,43,6456,0.5831732318523565,2,Low,Turboprop,0.5970763483092745,Europe,1686,2.46,1.0
AC-0338,28,17015.609525829463,7530,153,Major Overhaul,6,32,2941,0.9429131962637552,3,High,Piston,0.5652278182756969,South America,2583,3.28,1.0
AC-0339,25,38413.119197001346,12116,123,Major Overhaul,1,12,1598,0.37751690950857886,2,Low,Turbofan,0.9878024842945561,Europe,2495,4.13,3.97
AC-0340,25,16162.222111357314,1258,102,Major Overhaul,5,13,5573,0.8825870519732965,5,Medium,Turbofan,0.934161981825184,Europe,2044,13.69,1.81
AC-0341,18,30739.669592016755,1282,241,Inspection,10,23,9818,0.7876860279209914,3,Low,Turbofan,0.9466180736049734,South America,2314,25.1,1.0
AC-0342,23,7464.262820913129,14937,191,Routine Check,3,33,8988,0.3230311986162162,2,Medium,Piston,0.9431881923121976,Oceania,2084,1.67,2.28
AC-0343,30,45813.14656765142,2898,217,Routine Check,0,43,4287,0.13270667348461823,1,Low,Piston,0.7708434120168641,North America,2274,16.91,2.45
AC-0344,10,21954.463615127424,5135,51,Major Overhaul,0,25,2596,0.19166253862814447,2,High,Turbofan,0.8232008683328998,Oceania,1587,5.4,4.65
AC-0345,3,25953.20806947719,7629,292,Component Replacement,4,20,2708,0.7556445404626961,1,Medium,Turboprop,0.7726814260668209,Africa,1000,4.29,1.0
AC-0346,7,26790.36796548965,12168,81,Major Overhaul,1,27,6488,0.279702764236582,5,Medium,Turbofan,0.5256031745951646,Africa,1575,3.11,2.35
AC-0347,28,31075.668643313584,1612,88,Inspection,3,47,675,0.43414382845485444,2,Medium,Turbofan,0.8727515426763863,Europe,2842,20.16,3.58
AC-0348,16,9808.20017013823,15203,194,Major Overhaul,0,35,7669,0.5515292494057824,5,Medium,Turbofan,0.7526660166679402,Africa,2296,1.75,1.33
AC-0349,26,24946.635291633367,18071,104,Major Overhaul,3,39,6514,0.7529213516051465,3,Low,Turbofan,0.8238545373951149,North America,2175,2.56,1.38
AC-0350,16,18412.311742186434,3307,271,Inspection,10,1,2167,0.20190810093321285,1,High,Turbofan,0.7513199024877677,Europe,1457,6.65,1.0
AC-0351,25,8104.427739217299,8133,96,Major Overhaul,5,41,9367,0.4657297647497154,3,High,Turbofan,0.745905661161228,Africa,2563,2.15,2.12
