Flight ID,Aircraft ID,Pilot IDs,Flight Date/Time,Route,Duration (min),Weather Temperature (°C),Weather Wind Speed (km/h),Weather Precipitation (mm),Aircraft Age (years),Aircraft Maintenance Score,Pilot Experience (years),Pilot Fatigue Level (1-10),Fuel Consumption Rate (kg/min),Landing Rate (ft/min),Flight Safety Rating
199,22,"45,21",2024-04-18 12:41:37.011591,Vijayawada to Hyderabad,157,36.6,55,3.55,10,1,14,9,0.64,376,Safe
200,37,"47,4",2024-09-10 12:41:37.011593,Vijayawada to Hyderabad,144,38.98,50,3.6,25,4,10,4,0.69,306,Safe
201,8,"31,46",2024-01-09 12:41:37.011594,Vijayawada to Hyderabad,172,35.22,70,1.01,10,3,24,4,1.02,328,Safe
202,24,"5,39",2024-11-03 12:41:37.011595,Vijayawada to Hyderabad,130,28.25,44,2.0,28,5,14,10,1.07,313,Safe
203,35,"23,4",2024-06-20 12:41:37.011597,Vijayawada to Hyderabad,158,28.89,67,1.83,18,8,23,3,0.64,166,Safe
204,14,"42,20",2023-12-24 12:41:37.011598,Vijayawada to Hyderabad,173,36.22,45,0.79,18,6,20,4,1.04,266,Safe
205,31,"36,23",2024-02-04 12:41:37.011602,Vijayawada to Hyderabad,167,39.16,44,0.97,18,1,19,7,0.76,254,Critical
206,47,"9,20",2024-10-13 12:41:37.011603,Vijayawada to Hyderabad,166,31.07,54,2.85,27,6,25,2,0.86,277,Safe
207,3,"22,29",2024-11-27 12:41:37.011605,Vijayawada to Hyderabad,164,27.41,77,4.62,8,9,20,5,0.87,150,Safe
208,26,"15,14",2024-06-23 12:41:37.011606,Vijayawada to Hyderabad,155,34.28,80,2.58,29,9,8,9,0.98,264,Safe
209,33,"47,14",2024-08-27 12:41:37.011607,Vijayawada to Hyderabad,154,28.24,35,0.67,7,3,8,3,1.19,163,Safe
210,37,"47,22",2024-04-16 12:41:37.011608,Vijayawada to Hyderabad,140,33.61,34,3.85,11,4,11,9,0.72,257,Safe
211,45,"31,22",2024-03-05 12:41:37.011610,Vijayawada to Hyderabad,123,33.62,48,0.18,17,1,22,7,0.8,167,Safe
212,50,"43,36",2024-01-14 12:41:37.011611,Vijayawada to Hyderabad,129,26.86,49,3.96,26,8,12,6,1.04,182,Critical
213,5,"10,43",2024-04-14 12:41:37.011612,Vijayawada to Hyderabad,133,30.32,58,1.95,27,1,6,5,0.79,267,Safe
214,3,"33,15",2024-01-15 12:41:37.011613,Vijayawada to Hyderabad,173,38.57,62,0.64,8,4,17,4,1.13,175,Safe
215,20,"35,18",2024-07-14 12:41:37.011615,Vijayawada to Hyderabad,152,35.7,78,3.94,15,3,17,6,0.9,279,Critical
216,27,"7,45",2024-09-19 12:41:37.011616,Vijayawada to Hyderabad,145,32.64,72,0.94,5,5,11,5,0.8,228,Safe
217,49,"8,3",2024-06-22 12:41:37.011617,Vijayawada to Hyderabad,157,25.17,46,4.17,23,1,12,2,0.94,384,Safe
218,28,"14,15",2024-09-10 12:41:37.011619,Vijayawada to Hyderabad,169,25.41,42,1.58,26,6,23,8,1.08,321,Safe
219,20,"32,12",2024-01-08 12:41:37.011620,Vijayawada to Hyderabad,148,35.93,77,2.38,26,2,7,3,1.12,400,Safe
220,30,"14,14",2024-09-07 12:41:37.011621,Vijayawada to Hyderabad,174,37.54,32,0.44,28,4,21,4,0.68,285,Safe
221,50,"35,45",2023-12-17 12:41:37.011622,Vijayawada to Hyderabad,174,35.98,30,1.74,27,10,11,2,1.07,221,Safe
222,25,"36,21",2024-04-13 12:41:37.011624,Vijayawada to Hyderabad,160,27.81,79,4.59,11,10,17,10,1.06,208,Critical
223,31,"35,28",2024-09-16 12:41:37.011625,Vijayawada to Hyderabad,171,31.98,49,1.61,14,8,13,2,0.96,157,Safe
224,47,"29,44",2024-08-26 12:41:37.011626,Vijayawada to Hyderabad,123,25.02,52,4.54,22,9,7,8,1.04,155,Safe
225,39,"24,28",2024-05-28 12:41:37.011628,Vijayawada to Hyderabad,125,38.29,46,3.9,10,1,17,5,0.9,235,Critical
226,42,"33,44",2023-12-08 12:41:37.011629,Vijayawada to Hyderabad,134,27.49,40,4.18,24,4,13,1,0.77,364,Safe
227,47,"17,10",2023-12-20 12:41:37.011630,Vijayawada to Hyderabad,134,32.84,41,3.07,10,7,22,5,0.87,187,Safe
228,39,"13,37",2024-08-26 12:41:37.011632,Vijayawada to Hyderabad,128,31.06,34,2.77,16,6,14,8,1.06,335,Safe
229,48,"26,47",2024-11-13 12:41:37.011633,Vijayawada to Hyderabad,120,27.91,51,3.8,30,8,14,9,1.17,304,Safe
230,3,"21,37",2024-06-11 12:41:37.011634,Vijayawada to Hyderabad,154,39.96,58,4.41,20,2,25,5,0.81,161,Safe
231,41,"41,1",2024-08-30 12:41:37.011635,Vijayawada to Hyderabad,144,32.0,30,2.25,9,7,23,5,0.95,205,Safe
232,32,"22,11",2024-01-09 12:41:37.011637,Vijayawada to Hyderabad,138,29.12,33,0.31,24,7,16,5,0.95,242,Safe
233,34,"34,6",2024-09-03 12:41:37.011638,Vijayawada to Hyderabad,162,27.24,35,2.29,19,9,25,8,0.71,389,Safe
234,33,"16,26",2024-02-25 12:41:37.011639,Vijayawada to Hyderabad,180,36.3,46,3.97,30,10,19,4,0.73,291,Safe
235,37,"34,11",2024-08-08 12:41:37.011641,Vijayawada to Hyderabad,136,34.42,30,1.51,13,10,7,2,0.91,195,Safe
236,29,"9,26",2024-06-05 12:41:37.011642,Vijayawada to Hyderabad,131,39.26,34,4.63,13,5,18,8,1.13,363,Critical
237,35,"18,46",2024-08-21 12:41:37.011643,Vijayawada to Hyderabad,151,38.43,34,3.49,15,1,12,3,1.15,152,Safe
238,25,"33,9",2024-04-04 12:41:37.011644,Vijayawada to Hyderabad,166,27.28,45,2.94,15,10,25,4,0.76,348,Safe
239,5,"6,7",2024-04-25 12:41:37.011646,Vijayawada to Hyderabad,151,29.68,38,0.9,9,9,18,9,1.04,372,Critical
240,21,"20,40",2024-11-11 12:41:37.011647,Vijayawada to Hyderabad,143,37.65,46,3.7,14,8,20,5,1.18,292,Safe
241,29,"13,30",2023-12-28 12:41:37.011648,Vijayawada to Hyderabad,158,33.59,67,4.47,25,5,19,1,1.01,340,Safe
242,24,"45,18",2024-03-14 12:41:37.011649,Vijayawada to Hyderabad,156,31.42,72,0.76,30,3,9,4,1.11,338,Safe
243,9,"45,18",2024-02-14 12:41:37.011651,Vijayawada to Hyderabad,149,28.89,42,0.5,9,6,24,9,0.99,268,Safe
244,24,"21,16",2024-05-01 12:41:37.011652,Vijayawada to Hyderabad,173,39.31,31,2.73,8,3,22,1,1.19,218,Safe
245,48,"20,26",2024-07-10 12:41:37.011653,Vijayawada to Hyderabad,165,26.31,80,1.22,17,10,20,10,0.86,341,Critical
246,4,"8,26",2024-06-27 12:41:37.011655,Vijayawada to Hyderabad,176,35.28,57,0.98,20,6,21,1,0.94,170,Safe
247,32,"31,50",2024-04-03 12:41:37.011656,Vijayawada to Hyderabad,122,32.09,44,4.2,30,6,12,1,0.87,194,Critical
248,17,"35,30",2024-09-20 12:41:37.011657,Vijayawada to Hyderabad,162,37.62,46,2.03,23,7,21,8,1.19,389,Safe
249,46,"7,27",2024-09-20 12:41:37.011658,Vijayawada to Hyderabad,167,26.73,66,1.31,15,6,10,8,1.0,219,Safe
250,3,"18,10",2024-06-30 12:41:37.011659,Vijayawada to Hyderabad,177,37.11,32,4.0,21,1,15,1,0.92,232,Safe
251,9,"48,24",2024-09-09 12:41:37.011662,Vijayawada to Hyderabad,158,39.63,71,3.79,21,4,5,2,0.62,326,Safe
252,1,"37,9",2024-09-18 12:41:37.011663,Vijayawada to Hyderabad,135,39.21,45,1.42,19,10,22,4,1.06,156,Safe
253,22,"31,43",2024-10-03 12:41:37.011665,Vijayawada to Hyderabad,162,35.22,70,4.49,14,8,14,7,0.65,187,Safe
254,34,"21,24",2024-08-30 12:41:37.011666,Vijayawada to Hyderabad,120,32.09,77,2.05,7,9,14,8,0.7,238,Safe
255,50,"1,36",2024-07-19 12:41:37.011667,Vijayawada to Hyderabad,165,36.88,40,4.49,12,8,7,7,1.16,235,Critical
256,33,"2,39",2024-10-07 12:41:37.011668,Vijayawada to Hyderabad,122,31.83,30,0.25,13,9,10,4,0.76,273,Safe
257,4,"32,6",2024-07-21 12:41:37.011670,Vijayawada to Hyderabad,140,28.96,68,1.91,8,4,6,6,0.98,186,Safe
258,42,"41,34",2024-03-18 12:41:37.011671,Vijayawada to Hyderabad,157,28.37,77,3.02,30,2,24,8,0.62,300,Safe
259,48,"24,43",2023-12-26 12:41:37.011672,Vijayawada to Hyderabad,121,37.13,70,3.11,29,10,8,6,0.73,229,Critical
260,5,"32,46",2024-09-08 12:41:37.011674,Vijayawada to Hyderabad,147,39.02,34,4.83,21,7,23,1,0.72,388,Safe
261,13,"31,16",2024-10-02 12:41:37.011675,Vijayawada to Hyderabad,168,35.04,77,2.23,10,3,17,10,0.82,176,Safe
262,1,"46,5",2024-11-19 12:41:37.011676,Vijayawada to Hyderabad,156,34.48,43,4.59,26,10,20,9,0.71,317,Safe
263,11,"20,28",2023-12-31 12:41:37.011678,Vijayawada to Hyderabad,175,29.07,78,3.17,8,1,13,8,0.64,333,Safe
264,20,"10,13",2024-04-17 12:41:37.011679,Vijayawada to Hyderabad,166,32.01,36,2.84,29,10,6,3,1.17,168,Safe
265,23,"18,45",2024-01-03 12:41:37.011680,Vijayawada to Hyderabad,172,28.99,61,4.11,28,2,20,5,1.17,183,Critical
266,25,"15,26",2024-06-13 12:41:37.011682,Vijayawada to Hyderabad,151,39.25,38,3.71,15,8,19,8,0.71,362,Safe
267,39,"23,3",2024-08-27 12:41:37.011683,Vijayawada to Hyderabad,137,34.42,31,3.46,8,5,22,9,1.07,338,Critical
268,37,"31,26",2024-08-09 12:41:37.011684,Vijayawada to Hyderabad,176,36.84,77,3.74,13,8,12,9,0.93,301,Safe
269,9,"21,6",2023-12-15 12:41:37.011685,Vijayawada to Hyderabad,145,39.35,46,4.18,15,6,12,4,0.64,329,Safe
270,26,"37,13",2024-04-13 12:41:37.011687,Vijayawada to Hyderabad,158,32.99,57,2.76,9,5,17,1,0.73,372,Safe
271,5,"43,41",2024-11-30 12:41:37.011688,Vijayawada to Hyderabad,157,30.66,61,3.47,20,8,25,7,0.69,210,Safe
272,13,"34,2",2024-05-22 12:41:37.011690,Vijayawada to Hyderabad,121,35.52,52,1.88,29,4,5,2,0.64,385,Safe
273,19,"20,3",2024-02-03 12:41:37.011691,Vijayawada to Hyderabad,154,27.45,49,4.14,8,5,16,5,1.04,191,Critical
274,35,"38,47",2024-05-07 12:41:37.011692,Vijayawada to Hyderabad,150,34.1,53,2.82,8,6,15,4,0.98,381,Critical
275,45,"7,46",2024-04-30 12:41:37.011694,Vijayawada to Hyderabad,141,26.54,65,4.55,14,4,24,4,0.92,344,Safe
276,23,"25,49",2024-03-21 12:41:37.011695,Vijayawada to Hyderabad,173,34.61,40,0.42,25,6,23,8,0.71,360,Safe
277,50,"45,13",2024-09-22 12:41:37.011696,Vijayawada to Hyderabad,167,30.78,55,2.78,13,8,18,10,0.91,322,Safe
278,27,"22,8",2023-12-08 12:41:37.011698,Vijayawada to Hyderabad,146,29.29,30,0.37,28,1,19,10,0.76,276,Safe
279,27,"43,33",2024-10-04 12:41:37.011699,Vijayawada to Hyderabad,150,34.4,41,1.23,19,9,12,4,0.7,269,Safe
280,30,"20,50",2024-09-23 12:41:37.011700,Vijayawada to Hyderabad,160,35.62,33,3.13,28,8,16,6,0.94,317,Safe
281,38,"16,23",2024-07-29 12:41:37.011702,Vijayawada to Hyderabad,156,28.91,31,4.45,8,1,16,3,0.79,226,Critical
282,8,"8,25",2024-07-25 12:41:37.011703,Vijayawada to Hyderabad,128,26.46,71,2.29,12,9,19,8,0.82,233,Safe
283,34,"25,5",2024-05-25 12:41:37.011704,Vijayawada to Hyderabad,154,34.0,69,2.33,18,4,23,4,0.65,384,Safe
284,16,"14,29",2023-12-12 12:41:37.011705,Vijayawada to Hyderabad,145,34.4,37,0.8,29,3,8,1,1.09,359,Safe
285,49,"21,8",2024-07-24 12:41:37.011707,Vijayawada to Hyderabad,152,30.6,66,0.31,8,4,19,8,0.89,374,Safe
286,17,"16,12",2024-11-18 12:41:37.011708,Vijayawada to Hyderabad,145,31.6,74,2.42,28,8,8,9,1.15,313,Critical
287,30,"30,43",2024-07-09 12:41:37.011709,Vijayawada to Hyderabad,120,32.21,41,4.35,11,3,11,2,0.81,233,Safe
288,23,"46,31",2024-04-17 12:41:37.011711,Vijayawada to Hyderabad,144,37.04,55,2.56,22,4,5,4,0.9,285,Critical
289,14,"23,30",2024-07-28 12:41:37.011712,Vijayawada to Hyderabad,124,29.68,47,0.79,14,8,19,9,1.04,282,Safe
290,11,"39,9",2024-07-12 12:41:37.011715,Vijayawada to Hyderabad,141,39.55,63,2.9,28,1,5,7,0.79,201,Safe
291,13,"28,35",2024-07-10 12:41:37.011717,Vijayawada to Hyderabad,138,33.95,79,2.53,23,3,20,7,0.67,220,Safe
292,47,"17,28",2024-02-18 12:41:37.011718,Vijayawada to Hyderabad,175,29.7,31,3.5,30,5,24,6,1.15,243,Safe
293,16,"40,34",2024-11-22 12:41:37.011719,Vijayawada to Hyderabad,165,32.66,55,2.84,6,5,16,3,1.16,215,Critical
294,1,"12,37",2024-09-22 12:41:37.011721,Vijayawada to Hyderabad,147,34.88,37,1.75,7,5,7,10,1.2,205,Safe
295,2,"22,44",2024-09-03 12:41:37.011722,Vijayawada to Hyderabad,122,39.63,63,2.23,13,9,17,7,0.86,311,Safe
296,41,"19,42",2024-02-22 12:41:37.011723,Vijayawada to Hyderabad,170,36.64,61,0.83,13,2,15,10,0.66,289,Safe
297,15,"5,15",2024-11-07 12:41:37.011725,Vijayawada to Hyderabad,167,37.3,52,2.6,16,4,15,3,0.93,294,Critical
298,19,"5,15",2024-03-02 12:41:37.011726,Vijayawada to Hyderabad,144,35.28,50,1.26,10,9,16,7,1.05,383,Safe
299,6,"49,16",2024-07-28 12:41:37.011727,Vijayawada to Hyderabad,155,35.72,73,2.34,10,3,24,2,0.85,175,Safe
300,32,"7,15",2024-08-11 12:41:37.011729,Vijayawada to Hyderabad,142,31.21,47,0.69,20,10,8,6,0.85,376,Safe
301,34,"31,44",2024-05-18 12:41:37.011730,Vijayawada to Hyderabad,169,27.53,34,3.34,27,3,15,6,0.7,212,Critical
302,13,"4,30",2024-05-07 12:41:37.011731,Vijayawada to Hyderabad,122,33.67,66,4.95,13,3,10,6,0.63,212,Safe
303,45,"4,32",2024-07-04 12:41:37.011732,Vijayawada to Hyderabad,135,31.71,70,2.34,26,9,16,7,0.93,334,Safe
304,48,"4,34",2024-09-03 12:41:37.011734,Vijayawada to Hyderabad,121,30.5,63,0.61,20,3,11,3,0.88,297,Critical
305,30,"11,33",2024-11-09 12:41:37.011735,Vijayawada to Hyderabad,133,31.68,59,0.57,21,6,9,4,0.78,373,Critical
306,45,"7,37",2024-09-08 12:41:37.011736,Vijayawada to Hyderabad,180,27.64,58,4.21,19,1,24,8,1.04,166,Safe
307,17,"12,13",2024-10-07 12:41:37.011738,Vijayawada to Hyderabad,144,36.38,69,1.2,19,4,12,4,1.18,217,Safe
308,37,"25,33",2024-04-12 12:41:37.011739,Vijayawada to Hyderabad,136,38.25,65,3.32,21,2,8,5,0.84,250,Safe
309,49,"21,30",2024-01-18 12:41:37.011740,Vijayawada to Hyderabad,179,39.76,76,0.93,25,2,9,10,1.14,400,Safe
310,25,"21,28",2024-01-31 12:41:37.011742,Vijayawada to Hyderabad,161,32.83,47,0.56,5,6,15,7,0.65,400,Safe
311,34,"27,22",2024-08-06 12:41:37.011743,Vijayawada to Hyderabad,152,28.23,53,2.78,14,2,18,4,0.64,189,Safe
312,20,"31,38",2024-08-30 12:41:37.011744,Vijayawada to Hyderabad,140,25.21,39,1.22,6,7,17,6,1.02,266,Safe
313,22,"4,21",2024-06-09 12:41:37.011745,Vijayawada to Hyderabad,129,33.63,50,1.04,30,9,5,9,0.8,397,Safe
314,36,"13,29",2024-08-17 12:41:37.011747,Vijayawada to Hyderabad,154,32.16,45,0.43,17,9,12,6,1.18,259,Safe
315,49,"38,40",2024-05-24 12:41:37.011748,Vijayawada to Hyderabad,122,39.73,48,3.97,25,8,18,5,1.13,254,Safe
316,49,"10,3",2024-02-23 12:41:37.011749,Vijayawada to Hyderabad,174,34.13,40,0.82,17,2,16,2,1.06,270,Safe
317,39,"35,36",2024-07-11 12:41:37.011751,Vijayawada to Hyderabad,130,33.99,57,1.03,21,1,14,1,0.78,159,Safe
318,19,"39,43",2024-08-23 12:41:37.011752,Vijayawada to Hyderabad,126,34.13,41,2.31,20,2,15,9,0.65,396,Safe
319,27,"22,50",2024-11-23 12:41:37.011753,Vijayawada to Hyderabad,145,29.49,57,1.63,15,2,25,8,1.05,282,Critical
320,30,"34,10",2024-01-29 12:41:37.011754,Vijayawada to Hyderabad,174,26.25,41,0.33,8,3,17,6,0.63,315,Safe
321,20,"30,46",2024-05-29 12:41:37.011756,Vijayawada to Hyderabad,122,36.59,60,2.57,6,4,19,4,0.64,346,Safe
322,18,"47,39",2024-07-11 12:41:37.011757,Vijayawada to Hyderabad,140,30.04,31,4.92,8,3,22,2,0.95,244,Safe
323,24,"19,3",2023-12-25 12:41:37.011758,Vijayawada to Hyderabad,163,34.1,43,0.92,9,10,12,10,1.02,197,Safe
324,30,"14,39",2024-01-20 12:41:37.011760,Vijayawada to Hyderabad,155,39.6,57,1.15,28,3,12,3,1.16,168,Safe
325,6,"34,34",2024-05-18 12:41:37.011761,Vijayawada to Hyderabad,138,35.06,73,3.82,28,5,9,3,0.64,333,Safe
326,30,"25,9",2024-11-28 12:41:37.011762,Vijayawada to Hyderabad,147,39.97,31,4.24,28,2,22,2,0.62,341,Safe
327,10,"13,30",2024-02-26 12:41:37.011764,Vijayawada to Hyderabad,157,32.58,32,4.73,12,10,25,6,1.0,200,Safe
328,33,"32,8",2024-03-26 12:41:37.011765,Vijayawada to Hyderabad,153,39.84,33,1.18,26,2,10,10,1.03,180,Safe
329,7,"50,9",2024-09-16 12:41:37.011766,Vijayawada to Hyderabad,160,36.87,36,1.06,20,10,22,7,1.08,264,Safe
330,8,"34,36",2023-12-06 12:41:37.011768,Vijayawada to Hyderabad,147,26.47,43,0.06,27,8,8,3,0.74,254,Safe
331,21,"29,27",2024-04-16 12:41:37.011769,Vijayawada to Hyderabad,121,27.5,69,3.07,13,8,25,7,1.19,189,Safe
332,23,"31,45",2024-02-04 12:41:37.011770,Vijayawada to Hyderabad,172,37.09,70,3.81,6,9,21,7,0.73,287,Safe
333,16,"21,25",2024-04-05 12:41:37.011772,Vijayawada to Hyderabad,121,35.82,30,2.62,23,6,18,5,0.84,241,Safe
334,43,"49,5",2024-10-04 12:41:37.011773,Vijayawada to Hyderabad,124,27.26,42,2.86,11,6,10,3,1.18,234,Safe
335,8,"25,5",2023-12-07 12:41:37.011774,Vijayawada to Hyderabad,144,33.43,58,1.16,5,6,13,5,1.11,169,Safe
336,43,"34,47",2024-05-29 12:41:37.011775,Vijayawada to Hyderabad,139,30.18,63,1.67,19,6,19,8,1.15,203,Safe
337,27,"21,25",2024-11-02 12:41:37.011777,Vijayawada to Hyderabad,136,35.55,79,2.18,25,10,25,2,0.95,307,Critical
338,47,"1,12",2024-10-04 12:41:37.011778,Vijayawada to Hyderabad,125,38.76,45,0.03,26,4,17,10,0.93,336,Safe
339,8,"11,9",2023-12-18 12:41:37.011779,Vijayawada to Hyderabad,139,31.03,35,0.98,14,4,20,7,0.81,213,Safe
340,49,"13,20",2024-11-18 12:41:37.011781,Vijayawada to Hyderabad,126,25.89,76,1.72,22,10,10,10,0.81,281,Critical
341,50,"10,26",2024-01-18 12:41:37.011782,Vijayawada to Hyderabad,168,35.34,56,2.92,29,6,8,3,1.04,221,Safe
342,5,"43,41",2024-08-09 12:41:37.011783,Vijayawada to Hyderabad,149,39.55,31,0.7,5,10,14,8,0.88,174,Safe
343,12,"30,10",2024-01-09 12:41:37.011784,Vijayawada to Hyderabad,134,36.17,76,4.18,11,7,19,5,0.89,196,Safe
344,14,"48,43",2024-05-21 12:41:37.011786,Vijayawada to Hyderabad,134,31.1,72,4.22,23,5,12,7,0.97,274,Safe
345,27,"44,42",2023-12-14 12:41:37.011787,Vijayawada to Hyderabad,130,33.95,46,0.49,27,2,24,5,0.79,373,Safe
346,27,"37,23",2024-01-09 12:41:37.011788,Vijayawada to Hyderabad,127,32.11,57,4.82,9,9,22,2,1.09,164,Safe
347,12,"7,30",2024-04-24 12:41:37.011790,Vijayawada to Hyderabad,134,34.57,64,0.79,15,9,7,5,0.91,288,Critical
348,17,"25,26",2024-05-02 12:41:37.011791,Vijayawada to Hyderabad,170,32.97,48,3.92,11,1,9,2,0.74,381,Safe
349,37,"10,32",2023-12-06 12:41:37.011792,Vijayawada to Hyderabad,142,26.86,64,0.92,16,9,12,6,0.97,190,Safe
350,7,"37,45",2024-09-27 12:41:37.011794,Vijayawada to Hyderabad,137,29.75,49,3.07,14,7,23,6,1.03,365,Safe
351,42,"6,46",2024-08-18 12:41:37.011795,Vijayawada to Hyderabad,134,30.8,64,1.58,26,4,10,5,1.16,362,Critical
352,44,"26,20",2024-10-01 12:41:37.011796,Vijayawada to Hyderabad,173,31.31,77,3.44,12,7,16,5,0.7,350,Safe
353,2,"1,49",2024-11-24 12:41:37.011797,Vijayawada to Hyderabad,140,28.11,65,2.51,11,7,7,4,1.15,316,Safe
354,43,"7,48",2024-06-09 12:41:37.011799,Vijayawada to Hyderabad,138,32.09,78,1.75,22,8,22,3,1.12,213,Safe
355,47,"31,49",2024-07-10 12:41:37.011800,Vijayawada to Hyderabad,173,27.23,43,4.55,10,7,11,7,0.72,373,Safe
356,10,"31,12",2024-08-05 12:41:37.011802,Vijayawada to Hyderabad,155,30.94,40,0.35,11,2,5,8,0.93,362,Critical
357,24,"43,41",2024-01-26 12:41:37.011803,Vijayawada to Hyderabad,124,29.47,57,1.42,12,8,12,1,0.81,202,Critical
358,18,"6,19",2024-07-09 12:41:37.011804,Vijayawada to Hyderabad,144,32.96,73,4.43,8,10,15,7,1.07,332,Critical
359,4,"7,20",2024-07-22 12:41:37.011805,Vijayawada to Hyderabad,138,32.23,55,0.97,25,3,20,4,1.05,287,Safe
360,31,"33,29",2024-04-03 12:41:37.011807,Vijayawada to Hyderabad,122,31.02,73,0.23,8,10,6,10,0.84,310,Safe
361,23,"5,4",2024-09-14 12:41:37.011808,Vijayawada to Hyderabad,123,35.06,41,0.51,5,5,16,10,1.11,398,Safe
362,9,"4,8",2024-10-01 12:41:37.011809,Vijayawada to Hyderabad,140,26.1,35,0.58,22,3,22,1,1.15,202,Safe
363,26,"35,42",2024-09-25 12:41:37.011811,Vijayawada to Hyderabad,166,31.44,44,3.27,21,5,13,3,1.13,335,Safe
364,1,"14,24",2024-01-30 12:41:37.011812,Vijayawada to Hyderabad,173,34.4,44,4.14,15,1,12,2,1.02,352,Safe
365,49,"31,36",2024-07-08 12:41:37.011813,Vijayawada to Hyderabad,168,26.53,36,2.89,21,2,18,1,1.07,185,Safe
366,21,"21,44",2024-08-01 12:41:37.011815,Vijayawada to Hyderabad,160,30.26,48,1.68,11,7,14,3,0.64,197,Safe
367,23,"14,15",2024-11-15 12:41:37.011816,Vijayawada to Hyderabad,161,34.59,68,2.11,20,1,17,6,1.18,216,Safe
368,15,"23,5",2024-11-05 12:41:37.011817,Vijayawada to Hyderabad,130,35.86,45,1.9,23,4,14,1,0.93,335,Safe
369,30,"9,12",2024-06-26 12:41:37.011818,Vijayawada to Hyderabad,168,33.5,30,2.47,30,4,18,4,0.75,335,Safe
370,48,"44,24",2024-02-01 12:41:37.011820,Vijayawada to Hyderabad,178,30.77,40,4.8,9,2,23,10,0.6,239,Safe
371,43,"42,18",2024-03-04 12:41:37.011821,Vijayawada to Hyderabad,143,25.18,71,0.86,28,2,19,5,1.04,379,Safe
372,24,"34,44",2024-07-25 12:41:37.011822,Vijayawada to Hyderabad,136,37.64,68,0.63,8,2,10,10,0.86,294,Safe
373,14,"25,42",2023-12-20 12:41:37.011824,Vijayawada to Hyderabad,162,31.42,65,2.01,10,1,7,1,0.99,370,Critical
374,5,"13,43",2024-08-20 12:41:37.011825,Vijayawada to Hyderabad,127,34.66,51,4.51,16,4,20,2,1.02,355,Safe
375,14,"37,6",2024-07-30 12:41:37.011830,Vijayawada to Hyderabad,140,33.22,59,0.05,13,3,20,3,0.62,300,Safe
376,2,"38,40",2024-04-13 12:41:37.011832,Vijayawada to Hyderabad,133,38.54,34,2.15,20,6,10,1,0.95,338,Safe
377,2,"10,45",2024-07-05 12:41:37.011833,Vijayawada to Hyderabad,177,25.3,73,1.73,13,9,23,4,0.67,257,Safe
378,36,"29,35",2024-03-31 12:41:37.011834,Vijayawada to Hyderabad,155,38.22,60,2.28,10,10,8,10,0.67,300,Critical
379,19,"37,6",2024-08-14 12:41:37.011835,Vijayawada to Hyderabad,127,31.22,66,3.45,17,5,5,8,1.08,217,Critical
380,40,"4,35",2024-08-04 12:41:37.011837,Vijayawada to Hyderabad,139,31.74,46,4.23,25,6,25,8,0.81,171,Safe
381,31,"10,30",2024-03-26 12:41:37.011838,Vijayawada to Hyderabad,131,39.68,65,4.64,28,10,22,2,1.19,251,Safe
382,17,"2,11",2024-01-02 12:41:37.011839,Vijayawada to Hyderabad,157,25.79,78,2.19,18,9,8,1,0.87,325,Safe
383,36,"26,43",2024-10-09 12:41:37.011840,Vijayawada to Hyderabad,179,26.66,80,2.14,18,10,21,3,1.03,297,Safe
384,47,"12,35",2024-04-05 12:41:37.011841,Vijayawada to Hyderabad,145,26.17,30,2.13,28,2,22,7,0.8,375,Critical
385,37,"19,5",2024-10-22 12:41:37.011843,Vijayawada to Hyderabad,164,37.95,31,2.92,28,3,12,4,0.83,393,Safe
386,44,"47,32",2024-07-25 12:41:37.011844,Vijayawada to Hyderabad,135,28.26,53,2.79,6,2,9,3,0.81,268,Critical
387,36,"20,35",2024-01-10 12:41:37.011845,Vijayawada to Hyderabad,160,29.63,50,2.14,10,10,10,5,0.72,274,Safe
388,14,"47,44",2024-04-10 12:41:37.011846,Vijayawada to Hyderabad,159,37.21,67,3.93,19,8,14,9,0.87,228,Safe
389,36,"22,31",2024-04-04 12:41:37.011847,Vijayawada to Hyderabad,127,39.55,51,3.54,20,3,8,5,0.81,334,Safe
390,26,"38,48",2023-12-29 12:41:37.011849,Vijayawada to Hyderabad,169,38.91,62,4.36,5,6,8,6,0.67,363,Critical
391,23,"12,20",2024-03-06 12:41:37.011850,Vijayawada to Hyderabad,170,36.24,44,2.52,13,8,7,10,1.1,201,Critical
392,7,"16,13",2024-05-23 12:41:37.011851,Vijayawada to Hyderabad,152,28.6,66,0.57,29,4,24,5,1.04,319,Safe
393,42,"48,33",2024-03-03 12:41:37.011852,Vijayawada to Hyderabad,168,33.44,78,1.73,29,10,21,6,1.11,346,Safe
394,9,"43,50",2024-06-29 12:41:37.011854,Vijayawada to Hyderabad,151,32.93,68,3.67,23,3,20,4,0.96,340,Safe
395,32,"50,21",2024-05-21 12:41:37.011855,Vijayawada to Hyderabad,162,35.9,47,1.36,24,10,14,2,0.91,281,Critical
396,20,"9,28",2024-02-11 12:41:37.011856,Vijayawada to Hyderabad,131,36.57,70,2.32,26,4,21,2,0.64,209,Critical
397,21,"20,10",2024-05-28 12:41:37.011857,Vijayawada to Hyderabad,137,28.02,59,0.03,18,10,7,1,1.02,369,Safe
398,48,"35,29",2024-07-02 12:41:37.011858,Vijayawada to Hyderabad,154,33.27,45,3.02,15,8,12,9,0.83,343,Critical
