Flight ID,Destination,Airline,Aircraft Type,Scheduled Departure,Scheduled Arrival,Actual Departure,Actual Arrival,Traffic Volume (Nearby Flights ±5 mins),Sector Congestion (Intersections),Special Event (Rating out of 10),Day of the Week,Time of the Day,Weather Condition,Airport Operating Hours (Origin),Airport Operating Hours (Destination),Actual Travel Distance (Time Taken in mins),Suggested Travel Distance (Optimal Time in mins)
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:54 PM,9:10 PM,10:13 PM,6 flights scheduled within +/-5 mins,9:13 - Flight XYZ-ABC at 26240 ft,10,Friday,Afternoon,Clear,05:00-23:00,05:00-23:00,50,47
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:25 PM,9:21 PM,10:58 PM,1 flights scheduled within +/-5 mins,10:19 - Flight XYZ-ABC at 25147 ft,10,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,50,55
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:38 PM,9:26 PM,10:55 PM,5 flights scheduled within +/-5 mins,10:49 - Flight XYZ-ABC at 27014 ft,10,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,62,46
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:13 PM,12:46 PM,2:15 PM,5 flights scheduled within +/-5 mins,8:34 - Flight XYZ-ABC at 29697 ft,0,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,54,55
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:19 PM,3:37 PM,4:48 PM,2 flights scheduled within +/-5 mins,10:28 - Flight XYZ-ABC at 27662 ft,0,Thursday,Morning,Fog,05:00-23:00,05:00-23:00,54,49
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:45 PM,2:21 PM,3:25 PM,3 flights scheduled within +/-5 mins,10:56 - Flight XYZ-ABC at 23503 ft,7,Monday,Evening,Fog,05:00-23:00,05:00-23:00,51,50
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:29 PM,3:03 PM,4:31 PM,3 flights scheduled within +/-5 mins,10:30 - Flight XYZ-ABC at 20456 ft,7,Tuesday,Morning,Clear,05:00-23:00,05:00-23:00,60,55
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:18 PM,4:48 PM,6:19 PM,1 flights scheduled within +/-5 mins,9:56 - Flight XYZ-ABC at 26024 ft,5,Saturday,Evening,Clear,05:00-23:00,05:00-23:00,60,53
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:11 PM,6:18 PM,7:25 PM,2 flights scheduled within +/-5 mins,10:48 - Flight XYZ-ABC at 22074 ft,7,Monday,Evening,Clear,05:00-23:00,05:00-23:00,52,45
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,8:00 PM,6:08 PM,7:38 PM,3 flights scheduled within +/-5 mins,9:27 - Flight XYZ-ABC at 15178 ft,7,Monday,Evening,Clear,05:00-23:00,05:00-23:00,49,46
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:07 PM,6:59 PM,8:18 PM,2 flights scheduled within +/-5 mins,10:14 - Flight XYZ-ABC at 16543 ft,5,Monday,Morning,Rain,05:00-23:00,05:00-23:00,57,49
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:14 PM,7:04 PM,8:09 PM,2 flights scheduled within +/-5 mins,10:39 - Flight XYZ-ABC at 26918 ft,5,Wednesday,Morning,Clear,05:00-23:00,05:00-23:00,64,45
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:42 PM,7:19 PM,9:08 PM,2 flights scheduled within +/-5 mins,10:12 - Flight XYZ-ABC at 21727 ft,7,Friday,Evening,Fog,05:00-23:00,05:00-23:00,52,54
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:53 PM,7:53 PM,8:53 PM,2 flights scheduled within +/-5 mins,10:25 - Flight XYZ-ABC at 29940 ft,10,Sunday,Evening,Rain,05:00-23:00,05:00-23:00,54,48
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:27 PM,8:37 PM,10:12 PM,1 flights scheduled within +/-5 mins,10:33 - Flight XYZ-ABC at 25774 ft,0,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,47,45
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:36 PM,9:10 PM,10:31 PM,1 flights scheduled within +/-5 mins,9:59 - Flight XYZ-ABC at 25761 ft,7,Wednesday,Afternoon,Rain,05:00-23:00,05:00-23:00,63,53
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:56 PM,9:21 PM,10:30 PM,2 flights scheduled within +/-5 mins,8:37 - Flight XYZ-ABC at 21610 ft,5,Friday,Evening,Clear,05:00-23:00,05:00-23:00,54,53
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:44 PM,9:26 PM,10:35 PM,1 flights scheduled within +/-5 mins,8:39 - Flight XYZ-ABC at 19726 ft,5,Saturday,Afternoon,Rain,05:00-23:00,05:00-23:00,60,49
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:24 PM,12:46 PM,2:01 PM,2 flights scheduled within +/-5 mins,10:23 - Flight XYZ-ABC at 28782 ft,5,Monday,Evening,Clear,05:00-23:00,05:00-23:00,56,48
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:42 PM,3:37 PM,5:02 PM,1 flights scheduled within +/-5 mins,7:24 - Flight XYZ-ABC at 29377 ft,7,Friday,Morning,Clear,05:00-23:00,05:00-23:00,55,49
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:57 PM,2:21 PM,3:53 PM,5 flights scheduled within +/-5 mins,9:36 - Flight XYZ-ABC at 18960 ft,7,Wednesday,Morning,Fog,05:00-23:00,05:00-23:00,54,48
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:23 PM,3:03 PM,4:47 PM,5 flights scheduled within +/-5 mins,10:19 - Flight XYZ-ABC at 17113 ft,5,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,65,47
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:08 PM,4:48 PM,6:41 PM,4 flights scheduled within +/-5 mins,10:26 - Flight XYZ-ABC at 19430 ft,10,Friday,Morning,Rain,05:00-23:00,05:00-23:00,65,51
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:09 PM,6:18 PM,7:33 PM,5 flights scheduled within +/-5 mins,7:25 - Flight XYZ-ABC at 21350 ft,5,Wednesday,Evening,Fog,05:00-23:00,05:00-23:00,50,46
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:16 PM,6:08 PM,7:25 PM,3 flights scheduled within +/-5 mins,8:10 - Flight XYZ-ABC at 22793 ft,5,Wednesday,Afternoon,Clear,05:00-23:00,05:00-23:00,61,49
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,7:42 PM,6:59 PM,8:35 PM,2 flights scheduled within +/-5 mins,8:37 - Flight XYZ-ABC at 26009 ft,5,Thursday,Morning,Clear,05:00-23:00,05:00-23:00,58,46
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:54 PM,7:04 PM,8:30 PM,4 flights scheduled within +/-5 mins,8:17 - Flight XYZ-ABC at 25939 ft,0,Monday,Evening,Fog,05:00-23:00,05:00-23:00,56,49
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:23 PM,7:19 PM,8:44 PM,5 flights scheduled within +/-5 mins,9:27 - Flight XYZ-ABC at 17399 ft,0,Wednesday,Afternoon,Clear,05:00-23:00,05:00-23:00,46,52
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:54 PM,7:53 PM,9:53 PM,2 flights scheduled within +/-5 mins,8:24 - Flight XYZ-ABC at 21194 ft,7,Thursday,Morning,Rain,05:00-23:00,05:00-23:00,49,48
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:17 PM,8:37 PM,10:04 PM,6 flights scheduled within +/-5 mins,7:12 - Flight XYZ-ABC at 18645 ft,10,Tuesday,Evening,Clear,05:00-23:00,05:00-23:00,58,53
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,11:03 PM,9:10 PM,11:01 PM,6 flights scheduled within +/-5 mins,8:28 - Flight XYZ-ABC at 20548 ft,0,Tuesday,Evening,Fog,05:00-23:00,05:00-23:00,45,53
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:00 PM,9:21 PM,11:14 PM,6 flights scheduled within +/-5 mins,10:47 - Flight XYZ-ABC at 20066 ft,7,Monday,Morning,Rain,05:00-23:00,05:00-23:00,55,48
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:14 PM,9:26 PM,10:46 PM,1 flights scheduled within +/-5 mins,8:58 - Flight XYZ-ABC at 24451 ft,10,Thursday,Evening,Fog,05:00-23:00,05:00-23:00,48,55
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:42 PM,12:46 PM,2:38 PM,1 flights scheduled within +/-5 mins,7:29 - Flight XYZ-ABC at 24754 ft,0,Thursday,Afternoon,Rain,05:00-23:00,05:00-23:00,54,48
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:26 PM,3:37 PM,4:48 PM,5 flights scheduled within +/-5 mins,10:57 - Flight XYZ-ABC at 29915 ft,5,Sunday,Afternoon,Clear,05:00-23:00,05:00-23:00,61,51
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:52 PM,2:21 PM,3:37 PM,3 flights scheduled within +/-5 mins,9:23 - Flight XYZ-ABC at 19441 ft,5,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,53,55
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:53 PM,3:03 PM,5:01 PM,2 flights scheduled within +/-5 mins,10:51 - Flight XYZ-ABC at 19545 ft,0,Tuesday,Evening,Rain,05:00-23:00,05:00-23:00,53,51
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:14 PM,4:48 PM,6:32 PM,6 flights scheduled within +/-5 mins,10:20 - Flight XYZ-ABC at 24688 ft,0,Monday,Evening,Clear,05:00-23:00,05:00-23:00,57,51
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:04 PM,6:18 PM,8:05 PM,2 flights scheduled within +/-5 mins,9:28 - Flight XYZ-ABC at 23848 ft,0,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,65,48
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:55 PM,6:08 PM,8:02 PM,3 flights scheduled within +/-5 mins,10:35 - Flight XYZ-ABC at 16583 ft,7,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,45,45
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,7:49 PM,6:59 PM,8:35 PM,6 flights scheduled within +/-5 mins,7:14 - Flight XYZ-ABC at 20133 ft,10,Saturday,Evening,Rain,05:00-23:00,05:00-23:00,56,53
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,9:09 PM,7:04 PM,8:45 PM,3 flights scheduled within +/-5 mins,9:33 - Flight XYZ-ABC at 17884 ft,5,Sunday,Evening,Rain,05:00-23:00,05:00-23:00,61,45
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:26 PM,7:19 PM,8:28 PM,1 flights scheduled within +/-5 mins,10:13 - Flight XYZ-ABC at 27340 ft,7,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,62,50
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:35 PM,7:53 PM,9:13 PM,6 flights scheduled within +/-5 mins,7:35 - Flight XYZ-ABC at 15458 ft,0,Friday,Afternoon,Fog,05:00-23:00,05:00-23:00,45,54
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:27 PM,8:37 PM,10:25 PM,6 flights scheduled within +/-5 mins,8:22 - Flight XYZ-ABC at 24560 ft,5,Sunday,Morning,Clear,05:00-23:00,05:00-23:00,51,46
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:44 PM,9:10 PM,10:45 PM,6 flights scheduled within +/-5 mins,10:58 - Flight XYZ-ABC at 18031 ft,10,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,57,45
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:18 PM,9:21 PM,10:41 PM,2 flights scheduled within +/-5 mins,7:29 - Flight XYZ-ABC at 17734 ft,10,Monday,Morning,Clear,05:00-23:00,05:00-23:00,58,52
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:27 PM,9:26 PM,11:07 PM,1 flights scheduled within +/-5 mins,9:24 - Flight XYZ-ABC at 23863 ft,5,Tuesday,Morning,Clear,05:00-23:00,05:00-23:00,57,50
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:40 PM,12:46 PM,2:26 PM,2 flights scheduled within +/-5 mins,8:30 - Flight XYZ-ABC at 25127 ft,10,Tuesday,Afternoon,Rain,05:00-23:00,05:00-23:00,50,53
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:21 PM,3:37 PM,4:47 PM,6 flights scheduled within +/-5 mins,8:13 - Flight XYZ-ABC at 27602 ft,5,Saturday,Morning,Clear,05:00-23:00,05:00-23:00,58,53
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:22 PM,2:21 PM,4:21 PM,1 flights scheduled within +/-5 mins,10:20 - Flight XYZ-ABC at 25046 ft,10,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,61,50
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:54 PM,3:03 PM,4:12 PM,2 flights scheduled within +/-5 mins,10:49 - Flight XYZ-ABC at 23110 ft,0,Friday,Evening,Clear,05:00-23:00,05:00-23:00,63,54
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:09 PM,4:48 PM,6:03 PM,5 flights scheduled within +/-5 mins,9:14 - Flight XYZ-ABC at 24302 ft,5,Saturday,Morning,Clear,05:00-23:00,05:00-23:00,55,50
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:17 PM,6:18 PM,8:05 PM,4 flights scheduled within +/-5 mins,7:27 - Flight XYZ-ABC at 18686 ft,7,Wednesday,Afternoon,Rain,05:00-23:00,05:00-23:00,52,45
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:36 PM,6:08 PM,7:12 PM,1 flights scheduled within +/-5 mins,9:13 - Flight XYZ-ABC at 25858 ft,10,Thursday,Afternoon,Fog,05:00-23:00,05:00-23:00,49,45
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:00 PM,6:59 PM,8:06 PM,3 flights scheduled within +/-5 mins,10:53 - Flight XYZ-ABC at 19694 ft,7,Friday,Morning,Clear,05:00-23:00,05:00-23:00,54,45
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:44 PM,7:04 PM,8:20 PM,6 flights scheduled within +/-5 mins,8:33 - Flight XYZ-ABC at 16382 ft,5,Saturday,Afternoon,Rain,05:00-23:00,05:00-23:00,63,51
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,9:08 PM,7:19 PM,8:35 PM,5 flights scheduled within +/-5 mins,8:54 - Flight XYZ-ABC at 21741 ft,0,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,45,51
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:08 PM,7:53 PM,9:51 PM,4 flights scheduled within +/-5 mins,9:19 - Flight XYZ-ABC at 23249 ft,7,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,54,52
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:18 PM,8:37 PM,10:27 PM,2 flights scheduled within +/-5 mins,7:45 - Flight XYZ-ABC at 19371 ft,5,Wednesday,Evening,Clear,05:00-23:00,05:00-23:00,51,55
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,11:05 PM,9:10 PM,11:08 PM,4 flights scheduled within +/-5 mins,9:31 - Flight XYZ-ABC at 18098 ft,10,Friday,Morning,Fog,05:00-23:00,05:00-23:00,58,53
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:07 PM,9:21 PM,11:00 PM,5 flights scheduled within +/-5 mins,8:12 - Flight XYZ-ABC at 16738 ft,10,Sunday,Evening,Clear,05:00-23:00,05:00-23:00,57,52
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:15 PM,9:26 PM,11:15 PM,1 flights scheduled within +/-5 mins,8:23 - Flight XYZ-ABC at 24207 ft,7,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,54,53
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:11 PM,12:46 PM,2:25 PM,3 flights scheduled within +/-5 mins,7:16 - Flight XYZ-ABC at 16335 ft,0,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,59,51
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,1:58 PM,3:37 PM,5:35 PM,3 flights scheduled within +/-5 mins,10:41 - Flight XYZ-ABC at 23503 ft,7,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,52,45
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,4:07 PM,2:21 PM,3:21 PM,4 flights scheduled within +/-5 mins,10:27 - Flight XYZ-ABC at 24764 ft,10,Wednesday,Morning,Clear,05:00-23:00,05:00-23:00,60,45
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:24 PM,3:03 PM,4:40 PM,3 flights scheduled within +/-5 mins,7:26 - Flight XYZ-ABC at 26175 ft,0,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,51,48
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:43 PM,4:48 PM,6:31 PM,2 flights scheduled within +/-5 mins,10:43 - Flight XYZ-ABC at 29609 ft,7,Thursday,Morning,Fog,05:00-23:00,05:00-23:00,62,45
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,6:57 PM,6:18 PM,7:51 PM,6 flights scheduled within +/-5 mins,8:11 - Flight XYZ-ABC at 15301 ft,10,Sunday,Evening,Rain,05:00-23:00,05:00-23:00,51,46
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:51 PM,6:08 PM,7:47 PM,5 flights scheduled within +/-5 mins,7:51 - Flight XYZ-ABC at 17693 ft,10,Saturday,Evening,Rain,05:00-23:00,05:00-23:00,48,51
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,7:47 PM,6:59 PM,8:44 PM,2 flights scheduled within +/-5 mins,9:45 - Flight XYZ-ABC at 16424 ft,0,Thursday,Afternoon,Rain,05:00-23:00,05:00-23:00,56,55
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:20 PM,7:04 PM,9:00 PM,4 flights scheduled within +/-5 mins,10:39 - Flight XYZ-ABC at 29935 ft,5,Monday,Afternoon,Rain,05:00-23:00,05:00-23:00,57,50
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:19 PM,7:19 PM,8:28 PM,4 flights scheduled within +/-5 mins,7:14 - Flight XYZ-ABC at 29113 ft,10,Wednesday,Morning,Rain,05:00-23:00,05:00-23:00,57,47
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:01 PM,7:53 PM,9:23 PM,1 flights scheduled within +/-5 mins,10:36 - Flight XYZ-ABC at 29462 ft,10,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,54,45
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:35 PM,8:37 PM,10:32 PM,2 flights scheduled within +/-5 mins,8:56 - Flight XYZ-ABC at 23157 ft,5,Friday,Evening,Fog,05:00-23:00,05:00-23:00,54,53
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:19 PM,9:10 PM,10:21 PM,5 flights scheduled within +/-5 mins,10:19 - Flight XYZ-ABC at 24180 ft,5,Saturday,Afternoon,Rain,05:00-23:00,05:00-23:00,46,53
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:18 PM,9:21 PM,11:19 PM,5 flights scheduled within +/-5 mins,7:49 - Flight XYZ-ABC at 21075 ft,5,Sunday,Evening,Clear,05:00-23:00,05:00-23:00,51,53
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:18 PM,9:26 PM,11:23 PM,6 flights scheduled within +/-5 mins,8:12 - Flight XYZ-ABC at 16139 ft,10,Saturday,Afternoon,Fog,05:00-23:00,05:00-23:00,57,53
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:25 PM,12:46 PM,2:05 PM,6 flights scheduled within +/-5 mins,9:49 - Flight XYZ-ABC at 24170 ft,10,Monday,Evening,Clear,05:00-23:00,05:00-23:00,59,47
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:21 PM,3:37 PM,4:57 PM,2 flights scheduled within +/-5 mins,7:11 - Flight XYZ-ABC at 20321 ft,7,Friday,Evening,Clear,05:00-23:00,05:00-23:00,48,55
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:46 PM,2:21 PM,3:42 PM,2 flights scheduled within +/-5 mins,9:15 - Flight XYZ-ABC at 29192 ft,10,Friday,Morning,Rain,05:00-23:00,05:00-23:00,65,48
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:58 PM,3:03 PM,4:42 PM,3 flights scheduled within +/-5 mins,9:38 - Flight XYZ-ABC at 22686 ft,0,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,51,46
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:29 PM,4:48 PM,6:39 PM,6 flights scheduled within +/-5 mins,10:11 - Flight XYZ-ABC at 18563 ft,5,Thursday,Afternoon,Clear,05:00-23:00,05:00-23:00,47,53
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:00 PM,6:18 PM,7:29 PM,3 flights scheduled within +/-5 mins,7:55 - Flight XYZ-ABC at 18740 ft,7,Saturday,Morning,Rain,05:00-23:00,05:00-23:00,60,51
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,8:06 PM,6:08 PM,7:47 PM,6 flights scheduled within +/-5 mins,10:39 - Flight XYZ-ABC at 23243 ft,10,Wednesday,Morning,Rain,05:00-23:00,05:00-23:00,52,45
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,7:47 PM,6:59 PM,8:42 PM,3 flights scheduled within +/-5 mins,10:27 - Flight XYZ-ABC at 25943 ft,0,Thursday,Afternoon,Rain,05:00-23:00,05:00-23:00,53,55
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:19 PM,7:04 PM,8:08 PM,3 flights scheduled within +/-5 mins,9:56 - Flight XYZ-ABC at 28602 ft,0,Saturday,Afternoon,Fog,05:00-23:00,05:00-23:00,45,50
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:38 PM,7:19 PM,8:30 PM,4 flights scheduled within +/-5 mins,8:51 - Flight XYZ-ABC at 22288 ft,7,Saturday,Evening,Fog,05:00-23:00,05:00-23:00,61,50
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:47 PM,7:53 PM,9:38 PM,5 flights scheduled within +/-5 mins,9:26 - Flight XYZ-ABC at 24900 ft,7,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,51,55
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:33 PM,8:37 PM,9:38 PM,4 flights scheduled within +/-5 mins,9:20 - Flight XYZ-ABC at 20809 ft,5,Sunday,Evening,Clear,05:00-23:00,05:00-23:00,61,55
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,11:01 PM,9:10 PM,10:42 PM,3 flights scheduled within +/-5 mins,8:11 - Flight XYZ-ABC at 26181 ft,10,Sunday,Evening,Fog,05:00-23:00,05:00-23:00,45,47
AI468,Delhi (DEL),Air India,A319,9:10 PM,10:54 PM,9:21 PM,10:49 PM,6 flights scheduled within +/-5 mins,8:26 - Flight XYZ-ABC at 27287 ft,5,Thursday,Evening,Rain,05:00-23:00,05:00-23:00,60,48
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:57 PM,9:26 PM,11:18 PM,1 flights scheduled within +/-5 mins,9:26 - Flight XYZ-ABC at 17511 ft,5,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,49,53
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:37 PM,12:46 PM,2:03 PM,6 flights scheduled within +/-5 mins,7:14 - Flight XYZ-ABC at 27147 ft,7,Sunday,Afternoon,Fog,05:00-23:00,05:00-23:00,53,48
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:28 PM,3:37 PM,5:36 PM,6 flights scheduled within +/-5 mins,10:18 - Flight XYZ-ABC at 23193 ft,7,Monday,Morning,Clear,05:00-23:00,05:00-23:00,50,54
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:42 PM,2:21 PM,4:02 PM,3 flights scheduled within +/-5 mins,10:23 - Flight XYZ-ABC at 20935 ft,7,Tuesday,Evening,Fog,05:00-23:00,05:00-23:00,45,55
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:56 PM,3:03 PM,5:00 PM,4 flights scheduled within +/-5 mins,7:20 - Flight XYZ-ABC at 29047 ft,7,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,62,49
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:05 PM,4:48 PM,6:19 PM,1 flights scheduled within +/-5 mins,8:55 - Flight XYZ-ABC at 24131 ft,5,Wednesday,Morning,Clear,05:00-23:00,05:00-23:00,60,53
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:24 PM,6:18 PM,8:04 PM,6 flights scheduled within +/-5 mins,9:25 - Flight XYZ-ABC at 16023 ft,10,Thursday,Morning,Fog,05:00-23:00,05:00-23:00,65,50
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,8:00 PM,6:08 PM,8:04 PM,5 flights scheduled within +/-5 mins,10:53 - Flight XYZ-ABC at 22727 ft,0,Tuesday,Afternoon,Fog,05:00-23:00,05:00-23:00,52,50
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:24 PM,6:59 PM,8:46 PM,2 flights scheduled within +/-5 mins,8:51 - Flight XYZ-ABC at 26111 ft,5,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,54,55
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,9:08 PM,7:04 PM,8:11 PM,3 flights scheduled within +/-5 mins,8:56 - Flight XYZ-ABC at 29190 ft,7,Thursday,Morning,Rain,05:00-23:00,05:00-23:00,57,50
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:35 PM,7:19 PM,8:30 PM,4 flights scheduled within +/-5 mins,10:46 - Flight XYZ-ABC at 29940 ft,5,Wednesday,Afternoon,Clear,05:00-23:00,05:00-23:00,50,45
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:39 PM,7:53 PM,9:21 PM,6 flights scheduled within +/-5 mins,8:53 - Flight XYZ-ABC at 24332 ft,7,Tuesday,Morning,Clear,05:00-23:00,05:00-23:00,48,55
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:54 PM,8:37 PM,10:10 PM,2 flights scheduled within +/-5 mins,8:35 - Flight XYZ-ABC at 15575 ft,5,Wednesday,Morning,Rain,05:00-23:00,05:00-23:00,51,51
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:31 PM,9:10 PM,10:52 PM,2 flights scheduled within +/-5 mins,10:20 - Flight XYZ-ABC at 25199 ft,7,Tuesday,Afternoon,Fog,05:00-23:00,05:00-23:00,51,53
