Pilot ID,Performance Level,Training Hours,Simulator Hours,Flight Experience (Years),Training Score,Performance Score,Incidents,Accidents,Aircraft Types Flown,Last Check Ride Score,Reaction Time (ms),Stress Level,Sleep Quality,Cognitive Flexibility Score,Psychological Condition Index
P012,Very Good,596.46,209.96,17.47,73.86,42.1,2.2,0.76,8.14,61.9,266.06,4.79,5.62,63.12,71.73
P012,Very Good,1022.33,599.15,18.77,80.28,28.03,3.5,0.21,2.8,92.49,480.11,2.55,6.21,97.83,64.43
P012,Very Good,1237.91,721.77,28.51,100.13,66.17,4.69,1.04,6.47,95.69,321.86,5.78,7.91,73.66,60.32
P012,Very Good,598.44,378.87,6.16,86.54,17.27,0.87,1.63,4.8,75.46,323.74,4.45,3.87,78.82,103.99
P012,Very Good,1213.75,115.77,35.97,61.16,46.31,0.85,0.03,9.6,73.2,262.72,7.74,4.79,90.59,79.28
P012,Very Good,537.16,344.31,34.23,73.75,61.18,1.37,0.67,5.78,100.34,352.08,9.05,4.14,104.48,70.68
P012,Very Good,926.66,861.39,30.51,91.1,103.94,1.63,0.83,8.92,78.66,467.13,6.95,8.22,93.46,65.71
P012,Very Good,753.75,338.0,33.38,87.99,38.42,4.49,0.42,4.11,56.35,345.69,8.51,5.77,69.92,86.07
P012,Very Good,774.02,555.25,25.51,94.83,26.26,2.3,1.88,8.89,59.66,509.07,8.02,2.9,75.15,82.33
P012,Very Good,436.3,504.5,22.27,95.07,13.36,1.21,0.8,2.34,86.79,264.13,1.17,1.42,79.56,81.76
P012,Very Good,954.78,214.09,20.56,106.36,91.02,4.57,1.32,9.29,60.34,407.24,8.8,4.59,86.94,90.36
P012,Very Good,1286.95,758.62,5.92,81.7,0.82,4.8,1.86,7.96,103.7,501.21,5.93,2.72,94.6,108.67
P012,Very Good,790.59,754.58,14.67,104.2,34.54,2.24,1.87,7.7,76.77,479.31,2.35,8.51,81.56,63.7
P012,Very Good,949.3,381.29,4.48,76.37,24.23,3.33,1.25,8.67,92.68,376.87,9.36,7.08,60.1,56.75
P012,Very Good,772.31,146.03,26.66,71.46,11.47,0.52,0.33,2.25,72.7,429.12,9.97,8.43,89.8,67.89
P012,Very Good,1060.96,389.77,20.74,73.01,101.95,4.82,0.68,2.7,100.65,486.73,10.01,6.74,66.35,50.96
P012,Very Good,1051.17,646.45,34.96,96.95,32.42,2.76,1.09,3.31,59.96,296.82,4.11,2.3,64.28,72.08
P012,Very Good,984.2,512.05,39.39,70.59,96.23,4.41,1.85,7.52,90.18,427.49,2.15,2.64,82.4,52.58
P012,Very Good,1374.14,557.24,21.26,80.47,80.91,0.17,0.8,6.29,95.28,485.61,5.63,8.07,88.67,84.57
P012,Very Good,1308.21,127.69,8.93,64.79,10.78,0.29,1.78,1.66,82.64,303.42,5.96,9.77,61.88,84.25
P012,Very Good,541.08,335.26,8.39,75.72,69.04,3.42,2.02,4.01,55.7,305.49,3.05,8.28,63.52,104.52
P012,Very Good,1439.34,563.07,23.0,90.72,11.28,1.42,0.17,10.31,84.49,516.21,4.63,5.09,69.14,92.95
P012,Very Good,1480.37,429.68,2.51,75.39,99.84,2.96,0.76,6.0,62.44,224.4,3.16,4.03,78.26,65.53
P012,Very Good,1467.62,684.27,25.93,92.51,72.94,2.59,0.08,3.44,95.95,495.12,7.42,1.01,86.3,72.25
P012,Very Good,1069.98,209.42,14.94,86.77,94.31,0.12,0.99,8.81,105.41,369.28,8.81,6.76,65.19,57.29
P012,Very Good,710.33,443.82,23.27,85.42,17.9,4.78,1.42,4.59,70.09,474.71,5.96,10.44,61.31,61.07
P012,Very Good,1019.89,633.34,22.18,99.31,21.12,4.12,0.29,10.27,95.12,389.71,1.24,3.35,85.76,100.17
P012,Very Good,1105.19,233.08,10.93,99.3,78.22,2.71,1.43,5.71,77.45,226.93,2.68,4.62,98.62,94.09
P012,Very Good,769.24,209.84,28.55,70.94,75.42,5.05,1.78,1.26,69.28,285.31,8.3,8.62,67.91,62.54
P012,Very Good,471.18,139.29,40.42,83.01,104.02,1.28,0.6,4.57,68.29,277.36,5.18,8.22,103.44,97.85
P012,Very Good,931.45,563.62,4.46,104.13,34.67,1.24,0.29,3.79,75.06,496.49,8.55,2.21,58.56,91.7
P012,Very Good,668.27,673.47,34.59,72.06,68.0,0.72,0.03,6.17,68.62,437.69,3.0,9.1,97.19,58.5
P013,Needs Improvement,861.05,343.22,13.77,60.7,56.79,2.31,1.54,5.95,56.13,312.88,1.02,1.82,67.31,50.18
P013,Needs Improvement,635.95,545.42,23.7,74.04,42.36,3.11,1.18,0.99,60.76,288.5,3.58,5.91,63.01,60.25
P013,Needs Improvement,750.79,219.31,7.52,62.74,53.7,1.77,1.42,2.74,68.62,282.0,3.65,6.6,45.52,48.08
P013,Needs Improvement,506.32,118.8,21.44,57.41,44.97,1.31,1.08,0.74,58.08,283.17,7.42,5.49,42.13,62.9
P013,Needs Improvement,352.54,623.84,22.44,43.45,56.13,1.12,0.87,6.89,55.82,216.72,5.42,1.4,68.77,53.21
P013,Needs Improvement,346.5,194.26,14.78,44.09,34.9,2.15,0.6,5.21,38.42,255.31,5.74,5.37,62.48,69.13
P013,Needs Improvement,993.55,154.43,9.85,66.6,44.1,1.9,0.15,2.38,48.19,154.74,0.87,5.95,57.2,74.59
P013,Needs Improvement,535.75,152.5,13.5,71.53,42.71,3.18,1.41,6.92,50.58,321.23,2.94,4.86,48.32,50.51
P013,Needs Improvement,1098.39,220.84,12.32,66.02,38.8,1.7,0.84,5.08,36.86,208.9,6.5,2.61,58.85,63.5
P013,Needs Improvement,866.58,240.24,16.4,67.45,24.74,0.35,0.27,6.89,45.66,195.38,2.4,2.71,50.66,45.6
P013,Needs Improvement,658.36,177.16,15.96,55.35,29.23,0.2,0.09,5.65,56.32,312.51,1.82,7.15,39.45,60.65
P013,Needs Improvement,926.26,100.23,0.78,59.66,31.95,3.39,0.21,5.01,49.24,144.23,6.1,0.93,67.69,56.66
P013,Needs Improvement,392.36,460.51,18.7,48.72,62.63,1.26,0.56,6.6,49.17,317.01,5.69,3.67,46.47,59.92
P013,Needs Improvement,1036.72,487.66,11.16,53.21,54.04,0.9,1.07,1.52,44.93,239.98,7.11,6.72,77.87,41.06
P013,Needs Improvement,999.74,322.56,1.79,53.97,43.45,3.35,0.65,6.15,64.28,246.13,5.76,5.5,41.75,45.96
P013,Needs Improvement,453.44,117.89,6.9,47.16,41.28,0.73,0.96,3.05,50.89,228.39,5.83,1.76,44.52,63.51
P013,Needs Improvement,1144.62,151.82,23.1,53.66,70.96,1.8,1.11,1.52,52.73,339.37,5.93,3.53,59.74,40.29
P013,Needs Improvement,495.2,194.48,4.81,52.8,2.59,0.21,1.12,2.01,61.65,250.09,3.93,1.29,69.69,64.34
P013,Needs Improvement,812.55,516.97,26.49,48.56,57.62,3.77,1.04,2.17,39.87,235.38,1.63,3.6,61.38,48.24
P013,Needs Improvement,355.78,267.66,23.0,49.28,28.75,0.05,1.45,1.0,66.61,369.98,1.71,0.9,72.25,67.37
P013,Needs Improvement,1104.62,559.89,14.45,42.73,47.14,1.77,1.39,3.72,38.67,271.01,6.06,6.88,67.06,43.45
P013,Needs Improvement,431.46,220.81,4.29,61.55,64.38,0.94,0.51,2.0,65.66,243.1,1.3,5.07,64.45,44.69
P013,Needs Improvement,1006.99,435.22,11.62,67.23,53.86,1.97,0.03,4.48,40.13,322.2,4.37,1.9,43.19,56.69
P013,Needs Improvement,279.95,366.98,9.04,51.73,72.68,0.97,1.05,4.48,66.61,288.09,7.31,1.84,45.21,55.71
P013,Needs Improvement,756.77,109.8,27.31,45.54,21.84,1.02,1.22,2.82,63.95,371.61,3.44,3.31,56.33,42.47
P013,Needs Improvement,581.59,439.57,2.28,42.55,66.09,3.5,1.31,4.98,54.01,317.59,0.92,7.2,65.82,62.8
P013,Needs Improvement,261.73,376.55,21.68,68.82,5.26,2.57,0.04,6.17,72.44,238.18,6.21,4.68,69.55,45.68
P013,Needs Improvement,1096.8,127.51,5.89,67.5,61.13,3.29,0.88,3.2,58.02,327.24,2.53,4.32,45.66,41.6
P013,Needs Improvement,322.54,572.81,8.83,63.73,41.05,3.31,1.02,4.66,71.18,173.75,7.58,2.72,37.68,73.92
P013,Needs Improvement,1061.5,389.8,28.27,73.94,4.71,0.35,0.28,4.64,51.17,295.51,1.47,5.11,58.26,40.76
P013,Needs Improvement,655.72,443.63,7.27,56.2,49.96,0.67,1.34,3.59,73.76,359.75,2.03,4.26,67.09,50.0
P013,Needs Improvement,250.87,517.94,15.52,51.17,15.37,3.73,0.02,2.03,64.22,241.7,2.57,6.45,43.46,45.09
P013,Needs Improvement,444.91,494.56,11.17,50.24,41.39,3.26,0.38,1.79,62.44,357.95,4.55,5.66,46.62,59.23
P013,Needs Improvement,445.96,303.54,20.3,55.33,27.21,0.68,1.52,4.87,49.9,233.8,7.18,3.6,60.32,39.31
P013,Needs Improvement,464.6,551.06,22.48,54.17,70.04,3.74,1.19,0.79,73.38,205.33,4.16,4.87,46.96,55.55
P013,Needs Improvement,481.2,603.84,23.7,52.77,13.86,0.82,1.35,7.92,62.1,165.33,2.27,4.59,61.48,68.99
P013,Needs Improvement,927.74,279.63,13.87,67.19,77.27,2.36,1.31,7.15,68.94,283.65,4.16,4.87,51.93,50.88
P013,Needs Improvement,592.69,380.9,3.33,60.39,9.61,3.1,0.13,7.41,50.9,232.52,1.66,4.38,41.59,40.75
P013,Needs Improvement,555.01,579.67,18.7,50.06,65.05,2.98,0.83,3.83,48.8,197.76,2.51,4.68,67.5,65.94
P013,Needs Improvement,854.32,119.2,22.34,75.03,22.21,1.6,0.32,0.91,44.37,170.57,4.07,7.04,48.88,43.49
P013,Needs Improvement,320.96,320.13,14.72,57.93,8.29,0.54,0.3,1.26,45.63,350.24,4.13,1.38,57.4,62.46
P013,Needs Improvement,694.49,347.03,12.37,67.19,20.08,1.74,1.38,6.28,44.07,356.14,1.9,6.42,63.52,43.24
P013,Needs Improvement,946.47,117.69,9.67,71.49,15.53,0.16,0.82,6.79,49.25,189.87,0.77,4.07,64.76,51.28
P013,Needs Improvement,317.94,163.45,28.91,61.97,51.34,1.25,0.09,6.04,52.93,251.33,2.9,4.7,48.7,65.7
P013,Needs Improvement,681.39,558.94,10.84,57.11,64.46,3.01,0.37,1.96,70.76,207.69,0.89,0.85,46.08,78.4
P013,Needs Improvement,820.3,345.87,22.32,44.73,24.47,2.36,0.03,4.93,69.25,148.44,1.61,3.27,52.2,46.37
P013,Needs Improvement,398.82,309.72,2.85,64.75,50.97,0.28,1.48,2.54,70.44,329.0,4.55,0.98,71.53,58.95
P013,Needs Improvement,660.92,439.87,11.06,60.83,7.98,0.06,0.09,5.5,57.62,339.82,3.3,1.1,50.77,64.03
P013,Needs Improvement,386.28,328.99,21.39,59.03,13.73,0.82,0.31,5.1,73.64,333.37,2.88,4.91,56.11,72.62
P013,Needs Improvement,431.9,263.8,10.92,77.7,68.13,2.39,1.06,1.42,44.01,338.93,1.51,5.02,69.92,69.79
P013,Needs Improvement,610.63,352.27,25.09,58.73,22.24,3.43,0.51,4.88,67.6,242.7,3.98,2.3,61.72,44.25
P013,Needs Improvement,426.15,354.3,10.38,62.67,27.76,2.48,1.0,2.98,54.69,206.0,6.69,4.77,37.51,50.97
P013,Needs Improvement,308.73,438.13,14.46,51.64,67.64,2.91,1.42,7.63,58.86,316.03,4.54,1.28,67.16,38.26
P013,Needs Improvement,1004.72,421.69,7.71,46.96,25.57,3.17,0.67,2.93,74.98,155.44,5.22,1.41,76.51,57.18
P013,Needs Improvement,780.2,289.33,9.38,44.0,33.88,3.04,1.13,6.67,49.26,300.89,1.6,4.12,49.35,40.42
P013,Needs Improvement,1142.66,526.81,2.92,73.47,47.15,3.06,1.32,5.14,49.11,280.38,7.35,7.01,74.09,64.98
P013,Needs Improvement,681.31,271.99,25.71,48.43,69.57,1.38,1.18,0.78,55.69,299.46,1.97,2.28,47.37,53.07
P013,Needs Improvement,680.6,324.36,27.25,58.93,22.73,3.48,0.46,6.51,54.27,201.5,3.28,3.54,40.97,49.4
P013,Needs Improvement,473.38,368.77,24.19,57.14,41.71,0.75,0.46,4.15,57.21,192.36,5.09,5.41,69.26,69.2
P013,Needs Improvement,244.05,198.34,8.48,69.22,55.09,0.1,0.18,3.48,66.8,342.0,6.28,2.89,63.62,42.15
P013,Needs Improvement,308.14,156.68,14.24,63.91,3.53,3.26,0.93,4.21,44.61,177.05,4.64,3.96,76.1,63.02
P013,Needs Improvement,655.92,89.35,14.54,74.24,23.23,2.14,0.58,4.96,69.96,296.6,3.44,6.4,39.8,38.43
P013,Needs Improvement,810.14,447.09,17.03,55.53,8.81,3.45,0.88,3.78,55.28,183.85,6.56,5.05,59.82,52.09
P013,Needs Improvement,249.8,406.79,24.45,64.74,69.0,0.9,1.5,2.41,59.75,258.51,7.04,6.23,59.21,66.82
P013,Needs Improvement,518.39,541.54,13.08,70.42,63.67,2.6,0.74,1.99,38.34,195.92,1.86,5.49,57.89,53.67
P013,Needs Improvement,774.72,351.99,12.19,56.08,54.87,0.24,1.19,4.29,60.42,217.44,4.61,1.82,45.67,40.44
P013,Needs Improvement,513.58,340.37,13.59,52.07,8.38,0.62,0.94,6.04,52.22,383.38,6.08,4.2,60.94,70.48
P013,Needs Improvement,727.47,421.53,29.69,47.21,54.61,0.19,1.21,5.52,38.7,232.53,7.09,3.89,51.71,43.03
P013,Needs Improvement,638.9,327.8,6.26,72.74,0.09,1.98,1.3,5.04,59.7,237.5,4.5,4.15,65.87,50.9
P013,Needs Improvement,523.97,474.46,13.58,57.11,20.67,0.3,0.74,2.57,63.04,297.48,6.75,2.64,39.09,75.04
P013,Needs Improvement,317.91,287.98,9.09,65.22,12.73,1.93,0.4,4.65,55.62,245.41,1.4,2.5,63.29,68.33
P013,Needs Improvement,932.45,181.08,28.97,62.23,43.32,1.67,1.36,2.76,41.27,267.49,4.92,2.96,64.94,37.66
P013,Needs Improvement,722.37,517.18,15.66,57.38,12.39,3.67,1.47,1.78,54.89,261.95,5.69,1.18,56.96,50.91
P013,Needs Improvement,1079.93,163.5,17.84,45.23,23.65,0.04,0.75,3.76,68.34,200.51,5.11,4.1,41.11,74.76
P013,Needs Improvement,329.99,120.51,23.9,49.87,9.27,2.49,0.26,5.56,39.19,234.19,0.9,3.48,64.79,53.93
P013,Needs Improvement,869.01,484.53,23.21,52.6,27.97,0.63,1.36,4.36,60.24,310.97,2.15,1.18,42.07,59.07
P013,Needs Improvement,609.13,293.94,18.5,64.69,30.23,3.57,0.78,6.67,60.27,191.2,6.96,5.79,51.49,56.55
P013,Needs Improvement,774.05,420.81,25.98,54.24,8.74,1.85,0.84,0.98,45.27,210.08,3.09,3.45,38.88,50.91
P013,Needs Improvement,533.7,243.97,7.2,59.74,9.86,3.42,1.22,5.51,59.77,161.63,3.66,7.2,40.28,51.1
P013,Needs Improvement,934.33,88.15,9.06,63.7,29.45,1.62,0.55,1.34,58.96,236.48,7.58,7.23,62.46,57.58
P013,Needs Improvement,565.0,475.53,1.97,67.19,70.82,0.71,1.23,0.79,50.24,344.1,6.31,4.78,53.74,64.3
P013,Needs Improvement,276.05,80.82,11.3,49.8,69.47,0.93,0.97,4.4,73.83,271.55,5.8,5.35,69.92,59.3
P013,Needs Improvement,548.62,130.56,20.37,68.68,17.35,3.31,0.33,4.57,68.12,299.43,6.06,3.17,47.5,42.11
P013,Needs Improvement,968.07,255.87,14.66,55.17,49.73,1.03,0.48,6.96,52.74,184.16,5.86,6.68,52.9,75.1
P013,Needs Improvement,725.87,298.73,25.49,65.96,52.75,0.59,0.71,5.05,54.5,155.5,1.31,3.86,56.21,69.63
P013,Needs Improvement,650.97,547.58,21.06,66.45,26.36,1.36,1.16,2.67,69.5,193.86,3.7,4.92,48.66,35.9
P013,Needs Improvement,377.62,187.93,19.76,58.84,67.48,1.45,0.92,2.63,50.55,202.81,3.21,7.35,65.01,40.27
P013,Needs Improvement,602.26,591.59,8.91,54.87,34.89,2.81,0.21,1.6,77.77,209.09,7.85,1.32,50.96,42.96
P013,Needs Improvement,228.03,248.74,13.71,46.86,1.59,2.15,1.54,5.34,41.83,191.34,2.05,5.75,37.02,63.3
P013,Needs Improvement,305.63,350.9,27.99,48.01,4.06,2.3,1.01,6.46,52.73,366.09,6.37,1.49,72.93,51.83
P013,Needs Improvement,352.12,551.53,20.27,55.29,28.48,1.35,0.47,4.75,68.49,213.9,3.37,4.78,54.5,40.49
P013,Needs Improvement,782.82,565.46,10.41,60.22,68.71,2.82,0.57,7.17,42.93,348.69,3.29,7.74,69.94,44.96
P013,Needs Improvement,767.75,508.0,2.54,61.74,40.57,3.71,1.38,6.5,49.55,371.74,3.39,3.21,68.9,59.34
P013,Needs Improvement,1069.82,374.99,5.73,68.94,5.88,2.8,0.98,3.18,65.38,256.4,4.97,3.03,65.71,51.4
P013,Needs Improvement,939.17,416.76,18.68,54.15,71.23,1.25,1.03,5.44,48.96,379.32,5.34,3.04,61.08,62.76
P013,Needs Improvement,571.9,146.75,16.45,65.02,23.99,2.41,0.6,0.94,39.15,198.44,2.95,1.27,39.68,64.52
P013,Needs Improvement,508.84,620.09,23.23,48.11,14.24,0.66,0.17,5.4,48.84,244.77,5.51,3.42,48.28,52.6
P013,Needs Improvement,1090.47,234.77,7.32,61.69,17.6,0.64,1.12,2.59,72.77,171.71,4.32,3.76,42.52,49.39
P013,Needs Improvement,217.87,552.34,6.13,67.83,54.34,2.9,1.05,6.35,70.42,328.02,3.47,6.75,51.2,43.8
P013,Needs Improvement,434.52,563.88,20.15,55.61,67.56,3.09,0.44,3.08,66.65,307.6,1.78,2.62,45.31,58.34
P014,Very Good,956.12,512.49,37.07,98.89,57.16,0.79,0.7,1.35,76.31,302.78,4.07,8.0,96.92,55.54
P014,Very Good,1534.87,474.09,9.51,89.63,31.06,0.66,1.56,9.89,78.43,503.89,4.66,3.98,55.46,106.04
P014,Very Good,998.14,738.66,37.66,60.9,6.03,5.02,1.37,5.98,81.56,383.01,8.85,5.86,98.43,79.19
P014,Very Good,688.19,442.64,2.25,88.36,66.44,5.23,1.45,3.87,74.93,227.94,4.92,8.78,94.06,64.61
P014,Very Good,938.73,479.74,41.29,95.83,43.64,3.95,1.58,6.74,84.36,497.74,8.33,7.57,101.89,59.9
P014,Very Good,469.31,273.59,14.79,95.93,49.47,2.89,0.69,7.76,89.23,353.8,4.13,6.11,90.79,70.82
P014,Very Good,761.11,135.9,5.89,86.18,84.65,2.06,0.81,7.13,51.83,278.82,2.77,8.38,96.01,81.34
P014,Very Good,1570.84,580.84,29.62,103.14,51.74,0.02,0.55,1.92,72.78,359.88,9.05,2.65,71.95,75.07
P014,Very Good,1232.39,407.96,6.85,64.44,62.64,0.49,2.05,3.59,89.05,262.91,6.06,9.98,103.81,77.0
P014,Very Good,1174.17,527.47,23.89,69.93,100.32,4.05,1.4,1.39,93.0,351.28,10.69,8.3,65.46,90.57
P014,Very Good,700.46,134.71,8.6,93.35,0.57,4.87,1.85,4.02,99.47,303.77,7.0,7.88,69.2,77.19
P014,Very Good,1490.84,175.05,4.2,99.93,38.55,4.96,1.85,3.8,54.84,340.9,1.47,7.12,87.37,67.0
P014,Very Good,969.22,673.03,18.49,82.57,20.79,3.07,0.29,9.4,88.68,247.84,5.33,4.62,53.86,54.26
P014,Very Good,644.42,281.48,7.08,81.55,104.34,2.49,0.28,8.51,64.18,252.51,3.79,2.56,64.12,74.14
P014,Very Good,678.7,654.29,24.14,69.96,67.63,3.0,1.87,6.35,76.47,467.67,7.72,5.29,68.95,64.23
P014,Very Good,1165.71,255.73,17.2,79.75,14.48,1.57,0.21,9.31,82.91,264.77,5.17,3.3,78.46,78.32
P014,Very Good,385.51,324.53,14.88,72.82,9.2,4.89,0.49,6.34,104.46,422.17,6.06,3.95,66.01,53.26
P014,Very Good,1533.2,260.36,26.44,79.46,20.49,1.27,0.58,1.74,74.06,323.43,4.19,6.0,77.82,71.24
P014,Very Good,1017.82,499.5,26.08,84.95,94.35,0.25,1.12,5.16,59.85,404.68,8.55,5.93,87.81,101.66
P014,Very Good,1427.58,761.72,23.32,66.23,83.84,1.43,0.52,4.74,71.74,271.98,8.91,9.62,56.52,58.61
P014,Very Good,1032.27,373.85,22.45,100.48,41.6,2.81,0.14,6.47,100.72,230.6,7.65,4.33,98.22,59.46
P014,Very Good,518.86,392.16,40.66,94.68,14.78,4.6,1.19,9.07,87.05,218.21,2.69,8.18,58.51,104.23
P014,Very Good,921.29,381.8,41.22,92.46,42.49,4.37,0.88,7.03,75.66,374.16,9.7,9.75,64.53,77.57
P014,Very Good,1101.99,622.44,20.2,65.62,24.44,1.67,1.22,8.35,73.3,542.9,6.07,6.04,83.21,68.53
P014,Very Good,1385.15,620.64,13.58,101.01,78.34,4.32,1.68,2.35,86.36,436.23,7.89,1.63,67.24,53.25
P014,Very Good,428.12,565.22,21.37,76.41,47.06,3.47,1.4,1.57,61.56,496.26,1.26,3.19,95.5,87.73
P014,Very Good,1373.02,819.06,3.08,94.84,77.54,4.83,1.44,9.53,96.92,443.2,5.84,7.04,63.66,67.3
P014,Very Good,1016.67,525.35,17.3,105.89,79.13,2.5,0.53,4.97,54.96,487.08,6.42,9.33,58.75,78.24
P014,Very Good,803.05,244.58,13.88,101.07,29.25,5.12,1.85,5.85,77.88,445.88,10.1,3.25,95.54,57.02
P014,Very Good,988.34,503.45,6.33,64.74,43.37,2.86,2.05,2.34,92.88,373.44,10.19,1.2,53.82,79.16
P014,Very Good,1344.04,182.72,34.24,93.49,26.25,3.31,1.91,9.25,59.17,508.62,5.97,8.84,94.02,64.6
P014,Very Good,375.25,259.67,30.25,98.22,24.67,1.11,2.08,5.31,79.11,262.88,1.92,6.56,61.31,78.4
P014,Very Good,322.17,225.63,9.06,62.11,3.39,2.78,1.43,1.16,70.21,442.82,1.19,5.74,91.19,61.05
P014,Very Good,1222.39,643.69,25.5,72.99,43.58,0.18,0.61,7.94,69.48,292.52,3.96,1.93,64.08,62.09
P014,Very Good,770.98,161.29,31.6,99.24,21.31,0.07,0.93,2.63,88.28,505.35,1.46,1.32,66.04,79.44
P014,Very Good,1043.69,394.36,28.63,81.04,36.6,2.18,1.91,5.92,56.18,244.24,4.21,7.12,91.13,66.58
P014,Very Good,504.29,162.9,14.74,93.07,36.53,2.67,1.29,5.85,70.64,300.47,2.51,7.51,99.27,81.29
P014,Very Good,952.6,160.68,24.26,66.97,14.01,4.19,1.88,10.64,57.87,438.6,4.94,3.44,67.68,62.84
P014,Very Good,343.22,179.23,36.54,102.22,98.13,3.08,0.03,3.29,85.36,282.12,6.48,3.41,81.22,72.06
P014,Very Good,405.5,282.21,41.43,102.21,84.96,4.64,0.84,5.53,85.2,305.67,1.22,9.14,86.54,70.84
P014,Very Good,1355.7,286.29,26.08,98.71,33.82,3.67,1.14,4.13,58.88,391.53,10.95,3.23,65.01,60.45
P014,Very Good,1426.45,779.07,17.27,65.08,37.58,2.29,1.76,7.35,58.7,290.66,1.97,6.39,68.03,94.07
P014,Very Good,481.47,311.23,26.19,84.82,48.48,0.43,1.29,7.92,90.4,248.48,5.55,1.3,55.47,91.95
P014,Very Good,1183.34,678.86,20.36,100.69,54.17,4.03,0.96,4.07,99.56,214.73,4.29,5.67,66.57,62.76
P014,Very Good,1008.55,603.55,39.41,77.85,95.44,0.76,1.16,6.43,91.61,543.18,8.02,4.8,69.27,77.49
P014,Very Good,1444.12,328.06,7.57,72.49,43.66,1.19,1.03,2.9,100.12,498.52,1.97,2.29,70.33,77.91
P014,Very Good,566.97,700.72,22.46,77.28,22.72,2.82,2.02,10.45,93.31,381.89,4.63,5.14,56.52,61.79
P014,Very Good,1303.45,300.34,2.57,81.59,69.17,5.32,1.47,9.58,69.13,287.44,9.09,2.85,59.01,74.29
P014,Very Good,1242.87,708.2,23.44,74.44,76.68,1.96,1.33,8.58,64.01,229.43,4.89,3.58,69.73,77.44
P014,Very Good,456.67,824.05,33.85,95.24,49.42,2.55,1.35,4.11,96.11,269.92,3.38,3.68,52.66,61.43
P014,Very Good,1479.88,114.17,23.76,61.92,59.52,3.03,0.31,10.48,90.63,332.65,8.32,8.65,86.97,71.69
P014,Very Good,788.0,130.32,38.01,95.84,16.11,1.2,0.18,3.73,98.15,506.33,9.22,7.85,61.86,79.97
P014,Very Good,759.53,617.01,11.05,91.53,22.72,0.77,0.57,7.74,74.39,356.1,1.53,2.1,77.41,96.17
P014,Very Good,592.19,644.22,35.47,63.49,45.69,4.84,0.97,6.57,82.39,431.31,9.68,7.76,86.99,86.93
P014,Very Good,831.71,295.77,8.1,94.39,45.32,3.98,1.01,1.27,61.99,512.54,2.89,2.43,90.89,98.25
P014,Very Good,894.05,131.53,29.01,88.88,43.98,5.19,0.93,7.6,92.81,362.48,9.64,3.1,55.46,56.98
P014,Very Good,1546.54,399.3,37.18,84.99,25.74,2.17,0.8,2.86,54.18,273.8,8.75,8.45,103.32,70.84
P014,Very Good,685.28,392.67,27.56,70.55,92.21,0.02,0.42,8.19,59.64,317.76,4.9,1.25,85.84,80.09
P014,Very Good,1243.25,343.43,28.68,96.18,97.61,3.24,0.57,8.31,96.71,311.5,4.22,6.02,52.16,87.03
P014,Very Good,923.6,287.49,9.12,67.38,49.12,0.55,1.23,3.37,65.32,245.79,7.32,6.6,74.33,79.52
P014,Very Good,534.06,422.52,11.04,103.75,106.96,0.41,1.87,1.68,63.21,445.09,8.4,6.12,87.66,88.56
P014,Very Good,1446.02,414.55,33.52,75.36,54.27,1.06,0.59,6.3,53.7,306.89,6.12,8.66,67.81,87.87
P014,Very Good,321.05,230.12,26.66,97.37,46.01,4.27,0.44,4.67,70.64,456.32,4.54,9.38,83.32,62.1
P014,Very Good,1139.24,364.91,6.97,92.4,51.06,1.07,0.34,8.91,62.77,319.82,5.25,7.55,68.9,70.1
P014,Very Good,1147.22,344.69,25.72,66.03,13.7,1.25,0.58,3.86,68.43,362.29,5.4,1.88,101.56,62.83
P014,Very Good,1049.78,530.94,38.57,73.49,16.01,4.2,1.86,6.62,103.18,370.46,5.45,8.17,98.82,101.29
P014,Very Good,1112.89,160.16,15.33,93.51,69.13,2.19,1.86,3.6,86.27,460.6,7.85,2.75,67.81,57.58
P014,Very Good,1321.96,600.11,14.99,95.15,43.0,1.91,1.63,2.28,88.97,452.4,1.68,3.75,70.67,98.0
P014,Very Good,1555.78,168.42,35.04,81.45,23.71,0.94,0.52,6.9,57.86,343.07,5.78,1.16,72.04,72.88
P014,Very Good,794.63,671.68,32.02,69.41,75.33,3.17,2.0,7.76,101.91,248.99,2.5,5.66,73.34,53.27
P014,Very Good,1361.76,271.3,12.79,63.45,38.79,3.27,0.4,9.89,64.05,360.83,5.68,1.39,76.82,104.8
P014,Very Good,1236.52,476.35,37.19,70.92,85.28,2.32,0.75,2.55,85.04,384.87,7.21,4.7,55.89,55.95
P014,Very Good,592.48,294.26,31.18,89.57,91.24,2.53,1.09,10.68,84.11,448.5,10.64,1.68,93.8,99.53
P014,Very Good,899.37,560.51,41.92,103.03,1.66,0.65,1.07,3.92,90.69,254.86,8.95,5.33,74.18,55.32
P014,Very Good,1115.17,631.26,35.02,98.7,77.15,1.16,1.3,9.37,58.93,503.83,6.25,3.18,90.48,60.75
P014,Very Good,1126.36,200.34,40.93,85.99,53.08,4.98,2.0,5.43,102.52,211.49,5.21,6.57,96.82,80.75
P014,Very Good,1460.63,402.9,39.78,96.84,54.84,4.16,0.96,4.98,65.8,307.17,3.62,5.2,96.78,65.96
P014,Very Good,706.37,390.07,22.62,72.35,61.78,3.05,1.62,5.66,84.03,454.83,2.69,6.95,88.06,64.39
P014,Very Good,1342.63,504.14,36.05,79.18,69.82,4.73,0.07,4.93,101.19,421.68,6.56,5.96,66.49,101.84
